規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.9,150.3,134.5,15.8,12.2,80.7,77.1,3.6
100～499人,18,152.2,137.2,15,14.4,92.8,88.8,4
100人以上,17.9,151.2,135.8,15.4,13.5,88,84.2,3.8
30～99人,17.7,148.8,135.6,13.2,11.5,67.1,65.6,1.5
５～29人,18.2,149.4,140,9.4,10.9,62.6,61.3,1.3
30人以上,17.9,150.6,135.8,14.8,12.6,78.9,76.1,2.8
５人以上,17.9,150.2,136.8,13.4,11.8,71.4,69.3,2.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年５月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
