規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.3,162.4,145.3,17.1,13,84.9,81.2,3.7
100～499人,19.4,163.6,148.2,15.4,14.4,88.6,84.9,3.7
100人以上,19.3,163,146.7,16.3,13.8,87.1,83.4,3.7
30～99人,19.6,164.2,150.7,13.5,12.8,72.4,71,1.4
５～29人,19.7,160.6,151.1,9.5,11.8,67.3,65.5,1.8
30人以上,19.4,163.4,147.9,15.5,13.3,80.5,77.8,2.7
５人以上,19.5,162.6,148.6,14,12.6,74.3,72,2.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年７月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
