規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,472151,552990,349693,438584,511549,328055,400111,38473,33567,41441,21638
100～499人,396376,460586,299129,364121,419359,280463,338154,25967,32255,41227,18666
100人以上,434427,506990,324519,401513,465655,304360,369266,32247,32914,41335,20159
30～99人,321311,376138,239449,305097,355752,229464,284978,20119,16214,20386,9985
５～29人,272915,349345,194318,259456,329327,187603,247517,11939,13459,20018,6715
30人以上,398413,465492,297275,370816,430801,280375,342430,28386,27597,34691,16900
５人以上,361250,435078,262047,337840,404229,248632,314324,23516,23410,30849,13415
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年４月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
