規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1084333,1323509,729160,429747,505838,316753,393094,36653,654586,817671,412407
100～499人,777078,943023,535223,362867,423043,275164,336398,26469,414211,519980,260059
100人以上,932599,1136330,632846,396719,465107,296099,365095,31624,535880,671223,336747
30～99人,623703,761900,438274,297690,355742,219798,276929,20761,326013,406158,218476
５～29人,451062,592591,304839,253190,320186,183972,240172,13018,197872,272405,120867
30人以上,834279,1020242,568620,365199,431200,270913,337033,28166,469080,589042,297707
５人以上,720177,905597,479942,331849,401439,241685,308193,23656,388328,504158,238257
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
