規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.6,19.1,17.9,153.2,160.8,141.9,138.5,143.5,131,14.7,17.3,10.9
100～499人,18.6,19.2,17.8,151.5,161.4,136.7,138.5,145.8,127.5,13,15.6,9.2
100人以上,18.6,19.1,17.8,152.4,161.1,139.3,138.5,144.7,129.2,13.9,16.4,10.1
30～99人,17.9,18.6,16.8,140.7,153.3,122.5,130.1,139.5,116.4,10.6,13.8,6.1
５～29人,17,18.2,15.7,127.7,144.8,110.4,121.2,135.4,106.9,6.5,9.4,3.5
30人以上,18.4,19,17.5,148.6,158.6,133.9,135.8,143,125.1,12.8,15.6,8.8
５人以上,18,18.8,16.9,142.5,155,125.9,131.5,141,118.9,11,14,7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年６月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
