規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.3,18.9,17.3,151.6,160.3,138.4,135.9,142,126.7,15.7,18.3,11.7
100～499人,18.3,18.9,17.4,149.1,159,134.4,135.2,142.5,124.4,13.9,16.5,10
100人以上,18.3,18.9,17.4,150.4,159.7,136.3,135.6,142.3,125.5,14.8,17.4,10.8
30～99人,17.6,18.3,16.5,138.3,151.3,119.4,127,136.7,113,11.3,14.6,6.4
５～29人,16.5,17.7,15.2,124.8,142.2,106.9,117.5,131.7,103,7.3,10.5,3.9
30人以上,18,18.7,17.1,146.5,157,130.9,132.8,140.5,121.5,13.7,16.5,9.4
５人以上,17.6,18.4,16.5,140.1,153.1,122.7,128.3,138.2,115.2,11.8,14.9,7.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年３月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
