規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18,18.5,17.3,148.5,156.3,137,133.8,139,126,14.7,17.3,11
100～499人,18.2,18.8,17.3,148.7,159.2,133.2,134.7,142.2,123.6,14,17,9.6
100人以上,18.1,18.6,17.3,148.6,157.7,135.1,134.2,140.6,124.8,14.4,17.1,10.3
30～99人,17.3,18,16.3,137.2,150.5,119.2,125.7,135.3,112.7,11.5,15.2,6.5
５～29人,16.8,18.1,15.5,127.6,144.8,109.9,120,133.7,105.8,7.6,11.1,4.1
30人以上,17.8,18.4,16.9,145,155.5,129.8,131.5,139,120.8,13.5,16.5,9
５人以上,17.5,18.3,16.5,139.8,152.7,123.2,128.1,137.6,115.8,11.7,15.1,7.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
