規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.4,18.9,17.7,152.2,159.7,140.9,136.9,141.8,129.5,15.3,17.9,11.4
100～499人,18.3,18.9,17.5,149.7,159.6,135,136.1,143.4,125.3,13.6,16.2,9.7
100人以上,18.4,18.9,17.6,150.9,159.6,137.9,136.5,142.6,127.4,14.4,17,10.5
30～99人,17.5,18,16.9,139.2,149.9,124.3,128.1,135.9,117.3,11.1,14,7
５～29人,16.9,18.1,15.6,127.4,144.7,109.5,120,133.8,105.7,7.4,10.9,3.8
30人以上,18.1,18.6,17.4,147.1,156.6,133.5,133.8,140.5,124.1,13.3,16.1,9.4
５人以上,17.7,18.5,16.8,141.3,153.4,125.4,129.7,138.7,117.9,11.6,14.7,7.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１０月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
