規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,481519,461921,424458,37463,19598,131095,127921,121917,6004,3174
100～499人,415821,402612,374821,27791,13209,142234,141604,136006,5598,630
100人以上,450159,433611,400765,32846,16548,137911,136294,130538,5756,1617
30～99人,367962,358237,335172,23065,9725,95985,95234,93637,1597,751
５～29人,355525,347940,332333,15607,7585,89734,88466,86558,1908,1268
30人以上,426114,411562,381577,29985,14552,119283,118051,114143,3908,1232
５人以上,408889,396037,369561,26476,12852,105698,104449,101461,2988,1249
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年２月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
