規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,501380,602452,348426,429887,504384,317150,394673,35214,71493,98068,31276
100～499人,402447,471309,300068,360382,420025,271710,336063,24319,42065,51284,28358
100人以上,452038,537278,324179,395222,462460,294366,365441,29781,56816,74818,29813
30～99人,322715,376853,244328,299271,352594,222065,280318,18953,23444,24259,22263
５～29人,268830,344191,191279,254641,324126,183136,243319,11322,14189,20065,8143
30人以上,410659,486446,298263,364521,427648,270900,338205,26316,46138,58798,27363
５人以上,368581,448930,261839,331922,400347,241020,310054,21868,36659,48583,20819
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年３月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
