規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,436117,509997,324221,426828,500304,315543,392090,34738,9289,9693,8678
100～499人,369559,429352,281979,357189,414216,273662,332797,24392,12370,15136,8317
100人以上,403050,470202,303023,392230,457823,294526,362632,29598,10820,12379,8497
30～99人,319260,373129,244536,297338,351560,222124,277998,19340,21922,21569,22412
５～29人,263115,335020,188708,251947,319599,181940,240543,11404,11168,15421,6768
30人以上,376356,439889,283853,361999,424640,270795,335669,26330,14357,15249,13058
５人以上,342907,412152,251887,329492,396858,240942,307571,21921,13415,15294,10945
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年８月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
