規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.2,161.2,144.4,16.8,12.9,82.9,79.4,3.5
100～499人,19.2,163.2,147.5,15.7,14.5,88.7,84.6,4.1
100人以上,19.2,162.2,145.9,16.3,13.8,86.5,82.6,3.9
30～99人,19.1,161.4,147.2,14.2,12.8,73.2,71.5,1.7
５～29人,19.8,163.8,152.8,11,12.1,68.9,67.2,1.7
30人以上,19.2,162,146.3,15.7,13.4,80.6,77.7,2.9
５人以上,19.3,162.3,147.8,14.5,12.8,75.1,72.8,2.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１０月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
