規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,16.4,17,15.5,135.6,143.8,123.5,121.6,127.2,113.3,14,16.6,10.2
100～499人,17,17.5,16.2,138,146.8,124.8,125.4,131.8,115.8,12.6,15,9
100人以上,16.7,17.2,15.8,136.8,145.3,124.1,123.5,129.5,114.5,13.3,15.8,9.6
30～99人,16,16.8,14.9,126.2,139.1,107.4,116,125.7,101.8,10.2,13.4,5.6
５～29人,15.6,16.7,14.5,117.7,133.2,101.7,111.3,123.9,98.2,6.4,9.3,3.5
30人以上,16.5,17.1,15.6,133.4,143.3,118.7,121.1,128.3,110.4,12.3,15,8.3
５人以上,16.2,17,15.2,128.8,140.6,113,118.2,127.1,106.3,10.6,13.5,6.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
