規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17,143.4,128,15.4,11.6,77.1,73.6,3.5
100～499人,17.7,149.3,134.6,14.7,13.8,89.2,85.6,3.6
100人以上,17.3,146.2,131.2,15,12.9,84.5,80.9,3.6
30～99人,17.7,148.4,135,13.4,11.3,62.5,61.4,1.1
５～29人,18.5,151.2,141.7,9.5,10.9,62.1,60.8,1.3
30人以上,17.4,146.9,132.3,14.6,12.2,74.8,72.3,2.5
５人以上,17.7,147.9,134.6,13.3,11.6,68.9,67,1.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年２月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
