規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,609198,734890,418687,431145,504078,320601,394152,36993,178053,230812,98086
100～499人,476436,550283,362167,361810,415846,278196,336294,25516,114626,134437,83971
100人以上,543197,642739,390766,396676,460035,299653,365389,31287,146521,182704,91113
30～99人,388692,475219,270438,302395,358245,226067,284769,17626,86297,116974,44371
５～29人,354984,465356,240830,254463,322757,183829,243336,11127,100521,142599,57001
30人以上,493896,590962,350591,366592,428574,275084,339664,26928,127304,162388,75507
５人以上,452863,557883,313504,333470,400706,244250,311209,22261,119393,157177,69254
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年７月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
