規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,498174,469439,427453,41986,28735,145387,143321,136066,7255,2066
100～499人,440291,408420,378256,30164,31871,142750,140737,135390,5347,2013
100人以上,470633,440406,404045,36361,30227,143792,141758,135658,6100,2034
30～99人,395254,363696,337370,26326,31558,106967,106295,103882,2413,672
５～29人,391885,350920,332570,18350,40965,97360,96072,93391,2681,1288
30人以上,448752,418139,384691,33448,30613,127306,125882,121432,4450,1424
５人以上,435100,402001,372178,29823,33099,113178,111818,108203,3615,1360
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１１月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
