規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19,19.6,18.1,158.2,166.1,146.3,142.4,147.9,134.2,15.8,18.2,12.1
100～499人,19,19.6,18.1,155.4,165.1,140.7,141.3,148.5,130.5,14.1,16.6,10.2
100人以上,19,19.6,18.1,156.8,165.6,143.5,141.9,148.2,132.4,14.9,17.4,11.1
30～99人,18.1,18.8,17.1,144.2,155.9,126.7,132.7,141.4,119.7,11.5,14.5,7
５～29人,17.3,18.6,16,131.5,149.2,113.2,124.2,138.8,109.2,7.3,10.4,4
30人以上,18.7,19.4,17.8,152.8,162.5,138.1,139,146,128.3,13.8,16.5,9.8
５人以上,18.3,19.2,17.2,146.5,159,129.6,134.6,144.1,121.8,11.9,14.9,7.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年４月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
