規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.3,162,145.8,16.2,13.1,86.1,82.6,3.5
100～499人,19.5,164.8,149.7,15.1,14.5,92.5,88.5,4
100人以上,19.4,163.4,147.7,15.7,14,90,86.2,3.8
30～99人,19.6,163.4,149.7,13.7,12.8,73.6,72,1.6
５～29人,20.2,163.9,154.4,9.5,11.7,66.6,65.2,1.4
30人以上,19.5,163.4,148.3,15.1,13.4,82.7,79.9,2.8
５人以上,19.6,163.5,149.8,13.7,12.6,75.3,73.1,2.2
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年６月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
