産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.5,1.64,1.27,1.26
"鉱業,採石業,砂利採取業",0.74,0.81,0.74,0.81
建設業,1.08,0.91,0.5,0.78
製造業,0.79,0.76,0.76,0.82
電気・ガス・熱供給・水道業,2.09,0.42,1.75,0.47
情報通信業,0.64,0.78,0.62,0.75
"運輸業,郵便業",0.99,1.9,0.97,1.99
"卸売業,小売業",1.45,1.43,0.89,0.85
"金融業,保険業",0.8,1.2,0.55,0.98
"不動産業,物品賃貸業",1.03,1.55,1.09,1.13
"学術研究,専門・技術サービス業",1.15,1.44,0.77,1.04
"宿泊業,飲食サービス業",3.1,5.07,2.71,4
"生活関連サービス業,娯楽業",1.17,2.68,0.78,1.68
"教育,学習支援業",2.19,1.87,2.13,1.8
"医療,福祉",1.27,1.26,1,1.27
複合サービス事業,0.36,0.35,0.56,0.12
サービス業（他に分類されないもの）,2.78,1.64,3.07,1.61
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年２月分,,,,
第４表  規模、産業別労働異動率,,,,
