産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.41,1.98,2.3,1.95
"鉱業,採石業,砂利採取業",1.52,2.28,1.52,2.28
建設業,1.24,1.13,0.85,1.25
製造業,1.25,1.25,1.44,1.39
電気・ガス・熱供給・水道業,0.88,1.2,0.48,0.88
情報通信業,2.08,1.58,2.28,1.63
"運輸業,郵便業",2,1.52,1.93,1.31
"卸売業,小売業",1.84,1.9,1.64,1.67
"金融業,保険業",2.62,2.08,2.61,2.12
"不動産業,物品賃貸業",2.17,2.03,1.85,1.6
"学術研究,専門・技術サービス業",1.72,1.73,1.92,1.96
"宿泊業,飲食サービス業",5.08,3.61,4.38,5.63
"生活関連サービス業,娯楽業",2.72,2.91,1.77,1.76
"教育,学習支援業",4.44,3.34,4.8,3.77
"医療,福祉",1.95,1.6,1.49,1.58
複合サービス事業,0.2,0.53,0.16,0.2
サービス業（他に分類されないもの）,3.28,2.17,3.62,2.21
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１０月分,,,,
第４表  規模、産業別労働異動率,,,,
