規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.8,167.3,150,17.3,13.3,88.6,84.6,4
100～499人,20,169,152.8,16.2,14.4,92.6,88.6,4
100人以上,19.9,168.1,151.3,16.8,14,91,87,4
30～99人,19.8,167,152.3,14.7,12.8,74.4,72.6,1.8
５～29人,20.5,168.3,157.7,10.6,11.8,68.8,67.2,1.6
30人以上,19.9,167.8,151.6,16.2,13.5,83.7,80.7,3
５人以上,20,167.9,153.1,14.8,12.7,76.7,74.4,2.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年４月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
