規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.4,17.8,16.8,143.6,150.1,133.6,129.7,134,123.2,13.9,16.1,10.4
100～499人,17.4,17.9,16.8,142.2,151.1,129.3,129.6,135.8,120.5,12.6,15.3,8.8
100人以上,17.4,17.8,16.8,143,150.6,131.5,129.7,134.9,121.9,13.3,15.7,9.6
30～99人,16.2,16.7,15.4,128.1,139,113.1,118.5,126.5,107.4,9.6,12.5,5.7
５～29人,15.5,16.6,14.3,117.1,131.8,101.8,110.7,122.6,98.3,6.4,9.2,3.5
30人以上,17,17.5,16.3,138.2,147,125.4,126.1,132.3,117.1,12.1,14.7,8.3
５人以上,16.6,17.3,15.7,131.9,143,117.5,121.5,129.7,110.8,10.4,13.3,6.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年８月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
