規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.2,17.6,16.7,142.3,148.8,132.6,127.9,132.1,121.6,14.4,16.7,11
100～499人,17.3,17.7,16.8,141.4,149.2,129.8,128.4,133.8,120.4,13,15.4,9.4
100人以上,17.3,17.7,16.7,141.9,149,131.2,128.2,133,121,13.7,16,10.2
30～99人,16.2,16.8,15.3,128.6,139.2,113.4,118.3,126.1,107.1,10.3,13.1,6.3
５～29人,15.5,16.6,14.4,117.4,132.9,101.7,111,123.6,98.2,6.4,9.3,3.5
30人以上,16.9,17.4,16.3,137.6,145.9,125.5,125,130.8,116.5,12.6,15.1,9
５人以上,16.5,17.2,15.6,131.7,142.5,117.4,120.9,128.9,110.3,10.8,13.6,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年５月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
