事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５～29人,平成28,2016,年平均,20.2,167.9,156.2,11.7,13.1,79.4,76.7,2.7
５～29人,平成29,2017,年平均,20.2,168.4,155.8,12.6,12.8,77.9,75.3,2.6
５～29人,平成30,2018,年平均,20.2,166.4,155.1,11.3,12.5,74.2,71.6,2.6
５～29人,平成31・令和元,2019,年平均,19.8,162.8,151.8,11,12.1,72,69.5,2.5
５～29人,令和２,2020,年平均,19.1,156.5,146.9,9.6,11.4,66.7,64.9,1.8
５～29人,令和３,2021,年平均,19.3,157.9,147.9,10,11.5,66.3,64.7,1.6
５～29人,令和３,2021,1月,17.8,146.3,137.3,9,10.6,61,59.5,1.5
５～29人,令和３,2021,2月,18.5,151.2,141.7,9.5,10.9,62.1,60.8,1.3
５～29人,令和３,2021,3月,19.5,160,149.3,10.7,11.5,66,64.5,1.5
５～29人,令和３,2021,4月,20.5,168.3,157.7,10.6,11.8,68.8,67.2,1.6
５～29人,令和３,2021,5月,18.2,149.4,140,9.4,10.9,62.6,61.3,1.3
５～29人,令和３,2021,6月,20.2,163.9,154.4,9.5,11.7,66.6,65.2,1.4
５～29人,令和３,2021,7月,19.7,160.6,151.1,9.5,11.8,67.3,65.5,1.8
５～29人,令和３,2021,8月,18.1,148.5,139.2,9.3,11.1,64.8,63.3,1.5
５～29人,令和３,2021,9月,19.1,156.3,146.7,9.6,11.4,65.2,63.6,1.6
５～29人,令和３,2021,10月,19.8,163.8,152.8,11,12.1,68.9,67.2,1.7
５～29人,令和３,2021,11月,20,163.7,152.8,10.9,12.1,70.6,68.6,2
５～29人,令和３,2021,12月,19.8,163.2,152.1,11.1,12.2,71.7,69.5,2.2
30～99人,平成28,2016,年平均,19.7,162.8,149.7,13.1,14.1,81.9,79.4,2.5
30～99人,平成29,2017,年平均,19.6,163.4,149.8,13.6,14.1,81.4,79.2,2.2
30～99人,平成30,2018,年平均,19.8,165.9,151.2,14.7,13.7,79,76.8,2.2
30～99人,平成31・令和元,2019,年平均,19.3,163.4,147.7,15.7,12.8,75.6,72.5,3.1
30～99人,令和２,2020,年平均,18.8,157.1,144,13.1,12.1,71.1,68.4,2.7
30～99人,令和３,2021,年平均,18.7,157.1,143.3,13.8,12.2,69.9,68.4,1.5
30～99人,令和３,2021,1月,17.5,146.3,133.7,12.6,11,63.9,62.6,1.3
30～99人,令和３,2021,2月,17.7,148.4,135,13.4,11.3,62.5,61.4,1.1
30～99人,令和３,2021,3月,19.4,161.7,147.2,14.5,12,66.1,64.7,1.4
30～99人,令和３,2021,4月,19.8,167,152.3,14.7,12.8,74.4,72.6,1.8
30～99人,令和３,2021,5月,17.7,148.8,135.6,13.2,11.5,67.1,65.6,1.5
30～99人,令和３,2021,6月,19.6,163.4,149.7,13.7,12.8,73.6,72,1.6
