産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.78,2.11,1.66,2.11
"鉱業,採石業,砂利採取業",1.16,1.5,1.16,1.5
建設業,1.62,1.48,1.92,1.47
製造業,1.05,1.3,1.15,1.46
電気・ガス・熱供給・水道業,1.83,1.62,0.99,1.48
情報通信業,1.77,2.48,1.71,2.68
"運輸業,郵便業",1.4,1.63,1.46,1.69
"卸売業,小売業",1.52,1.81,1.44,1.71
"金融業,保険業",1.68,2.48,1.76,2.51
"不動産業,物品賃貸業",1.74,1.66,1.58,1.36
"学術研究,専門・技術サービス業",1.37,2.37,1.59,3
"宿泊業,飲食サービス業",4.39,3.85,3.59,2.12
"生活関連サービス業,娯楽業",1.59,1.84,1.96,1.94
"教育,学習支援業",2.22,3.58,2.24,4.24
"医療,福祉",1.04,1.57,0.93,1.46
複合サービス事業,0.57,0.7,0.44,0.77
サービス業（他に分類されないもの）,2.09,1.99,1.96,2.15
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年７月分,,,,
第４表  規模、産業別労働異動率,,,,
