規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.1,160.7,143.5,17.2,12.3,82.7,78.9,3.8
100～499人,19.3,163,146.7,16.3,14.1,90.2,86.4,3.8
100人以上,19.2,161.8,145,16.8,13.4,87.4,83.6,3.8
30～99人,19.4,161.7,147.2,14.5,12,66.1,64.7,1.4
５～29人,19.5,160,149.3,10.7,11.5,66,64.5,1.5
30人以上,19.2,161.8,145.7,16.1,12.8,78.3,75.5,2.8
５人以上,19.3,161.4,146.6,14.8,12.2,72.6,70.4,2.2
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年３月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
