規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.6,19.1,17.8,153.5,161.3,141.8,138,143.2,130.1,15.5,18.1,11.7
100～499人,18.5,19.1,17.7,151.1,160.6,136.3,137.6,144.5,126.9,13.5,16.1,9.4
100人以上,18.5,19.1,17.7,152.3,160.9,139.1,137.8,143.8,128.5,14.5,17.1,10.6
30～99人,17.9,18.7,16.9,141.5,154.3,123.9,131,140.6,117.7,10.5,13.7,6.2
５～29人,16.7,18,15.5,125.5,142.2,108.1,118.9,132.8,104.4,6.6,9.4,3.7
30人以上,18.3,19,17.4,148.8,158.8,134,135.6,142.8,124.9,13.2,16,9.1
５人以上,17.9,18.7,16.8,142,154.5,125.3,130.7,140.2,118,11.3,14.3,7.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年７月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
