規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19,159.9,143.1,16.8,13,85.1,81.3,3.8
100～499人,19.1,162.2,146,16.2,14.5,92.5,88.6,3.9
100人以上,19.1,161,144.5,16.5,13.9,89.6,85.7,3.9
30～99人,19.3,162.1,147.2,14.9,12.7,73.1,71.5,1.6
５～29人,20,163.7,152.8,10.9,12.1,70.6,68.6,2
30人以上,19.1,161.3,145.3,16,13.4,82.2,79.3,2.9
５人以上,19.3,161.9,147.1,14.8,12.8,76.7,74.2,2.5
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年１１月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
