規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,440195,521780,319026,422534,501289,305568,388781,33753,17661,20491,13458
100～499人,364521,421507,278926,353671,409972,269104,330041,23630,10850,11535,9822
100人以上,402520,471745,299130,388250,455723,287476,359537,28713,14270,16022,11654
30～99人,297730,352920,217362,290323,343841,212389,272802,17521,7407,9079,4973
５～29人,255410,325707,183051,250204,318606,179796,239757,10447,5206,7101,3255
30人以上,368901,433887,272627,356833,420077,263139,331711,25122,12068,13810,9488
５人以上,335260,405371,242171,325226,393330,234802,304454,20772,10034,12041,7369
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
