規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,668883,468536,427640,40896,200347,145591,140712,134040,6672,4879
100～499人,544267,407518,377825,29693,136749,139373,134678,129922,4756,4695
100人以上,608871,439151,403650,35501,169720,141909,137139,131602,5537,4770
30～99人,480677,367234,344502,22732,113443,110052,105985,103827,2158,4067
５～29人,509481,351478,335150,16328,158003,99653,94131,91599,2532,5522
30人以上,571596,418240,386452,31788,153356,127489,123037,119029,4008,4452
５人以上,556660,402187,374116,28071,154473,114277,109318,106010,3308,4959
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年７月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
