規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.1,151.8,136.6,15.2,12.2,82.1,78.5,3.6
100～499人,18.2,154.1,139.4,14.7,13.9,89.6,85.9,3.7
100人以上,18.1,152.9,137.9,15,13.3,86.7,83,3.7
30～99人,17.6,147.6,135.3,12.3,11.9,68.5,67,1.5
５～29人,18.1,148.5,139.2,9.3,11.1,64.8,63.3,1.5
30人以上,18,151.3,137.1,14.2,12.7,78.7,76,2.7
５人以上,18,150.6,137.6,13,11.9,72.3,70.1,2.2
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年８月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
