"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","はい[人]","いいえ[人]","無回答[人]"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","全体",,"558","73","468","17"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","男性（計）","231","31","198","2"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","男性 18～29歳","13","3","10","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","男性 30～39歳","38","10","28","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","男性 40～49歳","50","9","41","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","男性 50～59歳","47","3","44","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","男性 60～69歳","42","5","35","2"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","男性 70歳以上","40","1","39","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","男性 無回答","1","0","1","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","女性（計）","313","42","266","5"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","女性 18～29歳","26","8","16","2"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","女性 30～39歳","49","6","43","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","女性 40～49歳","78","10","67","1"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","女性 50～59歳","62","7","53","2"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","女性 60～69歳","56","8","48","0"
