"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2018","総務費","178355","3.3","178355","3.3"
"2018","広域連合負担金","4950297","92.2","4931802","92.1"
"2018","保険給付費","84160","1.6","84160","1.6"
"2018","保健事業費","104453","1.9","104453","2.0"
"2018","諸支出金","4400","0.1","4400","0.1"
"2018","予備費","50000","0.9","50000","0.9"
"2018","歳出合計","5371665","100","5353170","100"
"2019","総務費","195670","3.5",,
"2019","広域連合負担金","5105523","92.1",,
"2019","保険給付費","84162","1.5",,
"2019","保健事業費","104584","1.9",,
"2019","諸支出金","4600","0.1",,
"2019","予備費","50000","0.9",,
"2019","歳出合計","5544539","100",,

"令和元年度港区行政資料集　後期高齢者医療会計歳出予算","Ver201903",,,,
