No.,重点公園・緑地／名称（主な開園名称）,優先整備区域／合計面積（m2）,優先整備区域／事業促進区域／区域（町丁目まで）,優先整備区域／事業促進区域／面積（m2）,優先整備区域／新規事業化区域／区域（町丁目まで）,優先整備区域／新規事業化区域／面積（m2）
1,芝公園,1200,港区芝公園四丁目,1200,,
2,戸山公園,6400,新宿区戸山三丁目,4700,新宿区大久保三丁目,1700
3,明治公園,32300,渋谷区千駄ケ谷一・二丁目、新宿区霞ヶ丘町,32300,,
4,旧岩崎邸公園（旧岩崎邸庭園）,2500,台東区池之端一丁目、文京区湯島四丁目,2500,,
5,亀戸中央公園,3600,江東区亀戸九丁目,3600,,
6,清澄公園（清澄庭園）,3800,江東区清澄三丁目,3800,,
7,目黒公園（林試の森公園）,21800,,,品川区小山台二丁目,21800
8,祖師ヶ谷公園（祖師谷公園）,53100,世田谷区上祖師谷三丁目、成城九丁目,12000,世田谷区上祖師谷三・四丁目、成城九丁目,41100
9,代々木公園,11700,渋谷区神南一丁目,4300,渋谷区神南一丁目,7400
10,和田堀公園,102100,杉並区大宮一・二丁目、松ノ木一・二丁目、堀ノ内一丁目,97200,杉並区堀ノ内二丁目,4900
11,高井戸公園,130700,杉並区久我山二丁目,108900,杉並区久我山二丁目,21800
12,善福寺公園,800,杉並区善福寺二丁目,800,,
13,善福寺川緑地,2900,杉並区成田西三・四丁目,2900,,
14,浮間公園,2100,北区浮間二丁目,2100,,
15,上板橋公園（城北中央公園）,71800,板橋区桜川一丁目、小茂根五丁目、練馬区氷川台一丁目、羽沢三丁目,71800,,
16,赤塚公園,19600,板橋区赤塚四・五丁目,12300,板橋区赤塚四・五丁目,7300
17,練馬城址公園,220000,,,練馬区春日町一丁目、向山三丁目,220000
18,石神井公園,40400,練馬区石神井台一・二丁目、石神井町五丁目,13700,練馬区石神井台二丁目、石神井町五丁目,26700
19,舎人公園,34800,足立区古千谷一丁目、西伊興町、西伊興一・二・三丁目、皿沼三丁目,34800,,
20,水元公園,2000,葛飾区東金町五・八丁目,2000,,
21,宇喜田公園,10500,江戸川区北葛西三丁目,300,江戸川区北葛西三丁目、宇喜田町,10200
22,篠崎公園,118200,江戸川区西篠崎一丁目、上篠崎四丁目、篠崎町八丁目、北篠崎二丁目,114300,江戸川区西篠崎二丁目、上篠崎三丁目,3900
-,区部小計,892300,,525500,,366800
23,滝山公園,136600,八王子市高月町,55300,八王子市高月町,81300
24,小宮公園,5000,八王子市大谷町、暁町二丁目,5000,,
25,平山城址公園,19000,,,八王子市堀之内,19000
26,陵南公園,2700,,,八王子市長房町,2700
27,野山北・六道山公園,339400,瑞穂町駒形富士山字富士山、字富士山通り、箱根ケ崎字浅間谷、石畑字狭山谷、字夕日舎、字峰田、字狭山嶺、高根字池ノ上、字高根下、字田尻、字北狭山、字田ノ入、字金堀沢、殿ケ谷字滝田谷津、字尾引添、字尾引山、字宮野入、字宮前、字日野出、武蔵村山市岸二・三・四・五丁目、三ツ木三・四・五丁目、本町三・五・六丁目,339400,,
28,中藤公園,250600,武蔵村山市中藤二丁目、中央四・五丁目、本町四・五・六丁目,250600,,
29,観音寺森緑地,154000,,,武蔵村山市中央三・四丁目、中藤一・二丁目,154000
30,東大和緑地（東大和公園）,40000,東大和市湖畔三丁目、奈良橋二丁目,21000,東大和市高木一丁目,19000
31,井の頭公園（井の頭恩賜公園）,3600,,,三鷹市井の頭三丁目,3600
32,小金井公園,51700,武蔵野市桜堤三丁目、小金井市関野町一・二丁目、西東京市向台町六丁目,51700,,
33,府中の森公園,300,府中市天神町二丁目,300,,
34,武蔵野公園,34900,府中市多磨町二・三丁目、小金井市中町一丁目、東町五丁目,30400,小金井市東町五丁目,4500
35,神代公園（神代植物公園）,133400,調布市深大寺元町五丁目、深大寺北町二丁目,74400,調布市深大寺北町二丁目、深大寺南町四丁目,59000
36,小山田緑地,133800,町田市下小山田町字大久保、字梅木窪、字堀切、字兎谷、字堂谷、字関村、字小ヶ谷、字馬場窪、字鍬柄尾、字宮ノ腰、字向田、字宇津保沢、字竜沢、字桜ヶ谷,133800,,
37,大戸緑地,324700,町田市相原町字段木入、字?田、字細豊、字大北、字大子山、字考路,187300,町田市相原町字段木入、字?田、字権現谷,137400
38,七生公園（多摩動物公園）,3700,日野市程久保六丁目,2000,日野市程久保七丁目,1700
39,六仙公園,99900,東久留米市中央町三丁目,76600,東久留米市中央町三丁目,23300
40,八国山緑地,7200,東村山市諏訪町二・三丁目、多摩湖町四丁目,7200,,
41,東伏見公園,90900,西東京市東伏見一丁目、柳沢一丁目,43300,西東京市柳沢一丁目,47600
42,小田良谷戸公園,87000,稲城市坂浜,36400,稲城市坂浜,50600
43,桜ヶ丘公園,9100,多摩市連光寺三・五丁目,3400,多摩市連光寺三・五丁目,5700
44,秋留台公園,3800,あきる野市二宮字下塚場,3800,,
,市町部小計,1931300,,1321900,,609400
,東京都事業計,2823600,,1847400,,976200
