区分,自治体担当課,窓口電話番号
特別区,千代田区環境まちづくり部景観・都市計画課,03-5211-3610
特別区,中央区環境土木部水とみどりの課,03-3546-5434
特別区,港区街づくり支援部土木課,03-3578-2236
特別区,新宿区みどり土木部みどり公園課,03-5273-3915
特別区,文京区土木部みどり公園課,03-5803-1255
特別区,台東区都市づくり部公園課,03-5246-1324
特別区,墨田区都市整備部都市整備課,03-5608-6281
特別区,江東区土木部河川公園課,03-3647-9426
特別区,品川区都市環境部都市計画課,03-5742-6760
特別区,目黒区都市整備部みどり土木政策課,03-5722-9745
特別区,大田区まちづくり推進部都市計画課,03-5744-1332
特別区,世田谷区みどり３３推進担当部みどり政策課,03-5432-2591
特別区,渋谷区土木部緑と水・公園課,03-3463-2876
特別区,中野区都市基盤部都市計画課,03-3228-8262
特別区,杉並区都市整備部みどり公園課,03-3312-2111（3582）
特別区,豊島区都市整備部公園緑地課,03-3981-0534
特別区,北区土木部土木政策課,03-3908-9252
特別区,荒川区防災都市づくり部道路公園課,03-3802-4879
特別区,板橋区土木部みどりと公園課,03-3579-2531
特別区,練馬区土木部道路公園課,03-5984-1365
特別区,足立区都市建設部みどり推進課,03-3880-5423
特別区,葛飾区都市整備部公園課,03-3695-8380
特別区,江戸川区土木部水とみどりの課,03-5662-8393
市町,八王子市まちなみ整備部公園課,042-620-7269
市町,立川市まちづくり部公園緑地課,042-528-4363
市町,武蔵野市環境部緑のまち推進課,0422-60-1864
市町,三鷹市都市整備部緑と公園課,0422-29-9789
市町,青梅市環境部公園緑地課,0428-22-1111（2681）
市町,府中市都市整備部公園緑地課,042-335-4313
市町,昭島市都市計画部都市計画課,042-544-4410
市町,調布市環境部緑と公園課,042-481-7081
市町,町田市都市づくり部公園緑地課,042-724-4397
市町,小金井市環境部環境政策課,042-387-9860
市町,小平市環境部水と緑と公園課,042-346-9830
市町,日野市環境共生部緑と清流課,042-514-8307
市町,東村山市まちづくり部みどりと公園課,042-393-5111（2742）
市町,国分寺市建設環境部緑と建築課,042-325-0129
市町,国立市生活環境部環境政策課,042-576-2111（138）
市町,福生市都市建設部施設公園課,042-551-1985
市町,狛江市都市建設部まちづくり推進課,03-3430-1309
市町,東大和市環境部環境課,042-563-2111（1271）
市町,清瀬市都市整備部水と緑の環境課,042-497-2098
市町,東久留米市環境安全部環境政策課,042-470-7753
市町,武蔵村山市都市整備部都市計画課,042-565-1111（272）
市町,多摩市環境部公園緑地課,042-338-6953
市町,稲城市都市建設部土木課,042-378-2111（336）
市町,羽村市都市建設部土木課,042-555-1111（284）
市町,あきる野市都市整備部都市計画課,042-558-1111（2712）
市町,西東京市みどり環境部みどり公園課,042-438-4045
市町,瑞穂町都市整備部建設課,042-557-7659
市町,日の出町まちづくり課,042-597-0511（353）
