所在区市町,公園・緑地名称,種別
港区,芝公園,総合公園
港区,青山公園,総合公園
港区・新宿区・渋谷区,明治公園,総合公園
新宿区,戸山公園,総合公園
文京区,後楽園公園（小石川後楽園）,総合公園
文京区・台東区,旧岩崎邸公園（旧岩崎邸庭園）,特殊公園
台東区,上野公園（上野恩賜公園）,特殊公園
江東区,亀戸中央公園,総合公園
江東区,猿江公園（猿江恩賜公園）,運動公園
江東区,清澄公園（清澄庭園）,特殊公園
品川区・目黒区,目黒公園（林試の森公園）,総合公園
世田谷区,祖師ヶ谷公園（祖師谷公園）,総合公園
世田谷区,芦花公園（蘆花恒春園）,風致公園
世田谷区,砧公園,広域公園
杉並区,和田堀公園,総合公園
杉並区,高井戸公園,運動公園
杉並区,善福寺公園,風致公園
杉並区,善福寺川緑地,緑地
杉並区・三鷹市,玉川上水緑地（玉川上水緑道）,緑地
北区・板橋区,浮間公園,総合公園
荒川区,尾久の原公園,運動公園
板橋区・練馬区,上板橋公園（城北中央公園）,運動公園
板橋区,赤塚公園,風致公園
練馬区,練馬城址公園,総合公園
練馬区,石神井公園,風致公園
足立区,舎人公園,総合公園
足立区,中川公園,運動公園
葛飾区,水元公園,広域公園
江戸川区,篠崎公園,広域公園
江戸川区,宇喜田公園,運動公園
八王子市,滝山公園,総合公園
八王子市,小宮公園,総合公園
八王子市,平山城址公園,総合公園
八王子市,陵南公園,運動公園
八王子市,多摩丘陵北部緑地（長沼公園）,緑地
武蔵村山市・瑞穂町,野山北・六道山公園,広域公園
武蔵村山市,中藤公園,広域公園
武蔵村山市,観音寺森緑地,緑地
東大和市,東大和緑地（東大和公園）,緑地
東大和市,東大和芋窪緑地,緑地
武蔵野市・三鷹市,井の頭公園（井の頭恩賜公園）,特殊公園
武蔵野市・小金井市・小平市・西東京市,小金井公園,広域公園
三鷹市・調布市・小金井市,野川公園,広域公園
府中市,府中の森公園,総合公園
府中市・小金井市,武蔵野公園,風致公園
府中市,浅間山公園,風致公園
調布市,神代公園（神代植物公園）,特殊公園
町田市,小山田緑地,緑地
町田市,大戸緑地,緑地
日野市,七生公園（多摩動物公園）,特殊公園
東久留米市,六仙公園,総合公園
東村山市,八国山緑地,緑地
西東京市,東伏見公園,総合公園
稲城市,小田良谷戸公園,総合公園
稲城市,清水谷戸緑地,緑地
多摩市・稲城市,桜ヶ丘公園,広域公園
あきる野市,秋留台公園,運動公園
