"業態","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日","緯度","経度"
"店舗販売業","ローソン赤坂インターシティＡＩＲ店","東京都港区赤坂一丁目8番1号","B1","03-3583-3939","31港み生薬第30号","2019/9/4","35.67005","139.742701"
"店舗販売業","トモズ　アークヒルズ店","東京都港区赤坂一丁目12番32号","2階","03-6277-6381","5港み生薬第10号","2023/7/7","35.667137","139.740015"
"店舗販売業","薬マツモトキヨシ　溜池山王メトロピア店","東京都港区赤坂二丁目3番7号先","銀座線溜池山王駅構内","03-3582-7800","29港み生薬第87号","2018/4/25","35.671440","139.742096"
"店舗販売業","ココカラファイン　赤坂二丁目店","東京都港区赤坂二丁目19番2号","加藤ビル1階","03-3560-3871","30港み生薬第100号","2019/4/1","35.668769","139.740195"
"店舗販売業","ビックドラッグ　赤坂見附駅店","東京都港区赤坂三丁目1番6号","ビックカメラ赤坂見附駅店 地下1階","03-6230-1111","31港み生薬第2号","2019/5/16","35.677101","139.736775"
"店舗販売業","薬マツモトキヨシ　赤坂見附店","東京都港区赤坂三丁目9番5号",,"03-5545-3768","31港み生薬第21号","2019/7/25","35.676943","139.736405"
"店舗販売業","スギドラッグ　赤坂見附店","東京都港区赤坂三丁目9番7号",,"03-5797-8622","31港み生薬第8号","2019/5/9","35.676733","139.736616"
"店舗販売業","ココカラファイン　赤坂店","東京都港区赤坂三丁目13番14号","赤坂313ビル1階","03-3224-6450","30港み生薬第101号","2019/4/1","35.673506","139.737161"
"店舗販売業","トモズ　赤坂店","東京都港区赤坂四丁目2番8号","1階","03-3586-7480","3港み生薬第22号","2021/6/22","35.675296","139.735869"
"店舗販売業","薬マツモトキヨシ　赤坂Ｂｉｚタワー店","東京都港区赤坂五丁目3番1号","赤坂BizタワーB10-2","03-5574-6172","3港み生薬第41号","2021/10/14","35.673175","139.736359"
"店舗販売業","明伸堂","東京都港区赤坂六丁目4番20号","赤坂ヴィラージュ602","03-3586-3289","3港み生薬第63号","2021/12/28","35.670619","139.734816"
"店舗販売業","薬店　フューチャーラボ","東京都港区赤坂八丁目5番32号","田中駒ビル4階","03-6406-8933","5港み生薬第58号","2024/2/6","35.671947","139.726372"
"店舗販売業","ＳＡＬＵＳ","東京都港区赤坂九丁目1番7号","赤坂レジデンシャルホテル103号室","03-6459-2737","3港み生薬第70号","2022/4/19","35.668055","139.732763"
"店舗販売業","ナチュラルローソン　乃木坂店","東京都港区赤坂九丁目6番29号","パシフィック乃木坂1階","03-5785-1509","4港み生薬第65号","2023/3/8","35.666619","139.728221"
"店舗販売業","ファミリーマート　東京ミッドタウン店","東京都港区赤坂九丁目7番1号","33階","03-5775-7568","31港み生薬第60号","2020/4/1","35.666126","139.731247"
"店舗販売業","トモズ　東京ミッドタウン店","東京都港区赤坂九丁目7番2号","B-B104，105","03-5413-3118","2港み生薬第27号","2020/9/22","35.665261","139.731308"
"店舗販売業","麻布漢方　Ｈｅｒｂａｌ　Ｒｏｏｍ","東京都港区麻布十番一丁目5番2号","フローラ麻布3階","03-6435-5866","4港み生薬第71号","2023/3/17","35.657581","139.732691"
"店舗販売業","ソレイユ漢方薬店","東京都港区麻布十番一丁目8番11号","TAKADEN麻布十番6階","03-5797-7155","31港み生薬第51号","2019/12/13","35.656016","139.735405"
"店舗販売業","くすりの福太郎　麻布十番店","東京都港区麻布十番二丁目3番9号","桂亭ビル1階","03-5765-5629","4港み生薬第59号","2023/3/1","35.655421","139.735086"
"店舗販売業","薬マツモトキヨシ　麻布十番店","東京都港区麻布十番二丁目8番10号",,"03-5443-2278","3港み生薬第40号","2021/10/23","35.655416","139.734447"
"店舗販売業","ウエルシア麻布十番店","東京都港区麻布十番二丁目9番2号","2階","03-5439-5237","4港み生薬第45号","2022/11/28","35.655056","139.734454"
"店舗販売業","ドラッグセイムス麻布十番駅前店","東京都港区麻布十番二丁目20番16号","麻布十番ハイツ1階","03-3456-5739","31港み生薬第75号","2020/3/1","35.655197","139.736762"
"店舗販売業","トモズ　麻布十番店","東京都港区麻布十番三丁目7番11号","シャトーデスポワール麻布101号","03-5440-3250","3港み生薬第16号","2021/6/22","35.653587","139.734806"
"店舗販売業","くすり城南","東京都港区麻布十番三丁目14番3号",,"03-3451-8400","3港み生薬第62号","2021/12/7","35.652833","139.736255"
"店舗販売業","ローソン麻布台一丁目店","東京都港区麻布台一丁目7番8号","霊友会第一ビル1階","03-3585-3963","31港み生薬第78号","2020/3/25","35.661116","139.742220"
"店舗販売業","ファミリーマート　愛宕グリーンヒルズ店","東京都港区愛宕二丁目5番1号","愛宕グリーンヒルズMORIタワー2F","03-6402-1072","31港み生薬第27号","2019/8/26","35.662142","139.748881"
"店舗販売業","ファミリーマート南山堂竹芝駅前店","東京都港区海岸一丁目13番3号",,"03-6402-3027","31港み生薬第28号","2019/8/26","35.654688","139.762094"
"店舗販売業","クラシエ薬品株式会社","東京都港区海岸三丁目20番20号","ヨコソーレインボータワー6階","03-5446-3300","30港み生薬第4号","2018/5/22","35.640025","139.756503"
