"年月[西暦]","調査項目","設問","選択肢","件数[件]","(全体)[%]","(除不)[%]"
"202003","介護事業者に対する行政の支援について","Q22. 事業者の立場から、保険者である港区に対して望むことはありますか。（あてはまるものすべてに〇）","介護保険に関する情報提供","63","47.7","51.6"
"202003","介護事業者に対する行政の支援について","Q22. 事業者の立場から、保険者である港区に対して望むことはありますか。（あてはまるものすべてに〇）","介護人材の確保に関わる支援","62","47.0","50.8"
"202003","介護事業者に対する行政の支援について","Q22. 事業者の立場から、保険者である港区に対して望むことはありますか。（あてはまるものすべてに〇）","サービスの質の向上のための研修","33","25.0","27.0"
"202003","介護事業者に対する行政の支援について","Q22. 事業者の立場から、保険者である港区に対して望むことはありますか。（あてはまるものすべてに〇）","不正な事業所の指導","14","10.6","11.5"
"202003","介護事業者に対する行政の支援について","Q22. 事業者の立場から、保険者である港区に対して望むことはありますか。（あてはまるものすべてに〇）","利用者への適正なサービス利用の啓発","40","30.3","32.8"
"202003","介護事業者に対する行政の支援について","Q22. 事業者の立場から、保険者である港区に対して望むことはありますか。（あてはまるものすべてに〇）","適正な介護報酬請求のための情報提供","29","22.0","23.8"
"202003","介護事業者に対する行政の支援について","Q22. 事業者の立場から、保険者である港区に対して望むことはありますか。（あてはまるものすべてに〇）","地域包括支援センターの機能の充実","36","27.3","29.5"
"202003","介護事業者に対する行政の支援について","Q22. 事業者の立場から、保険者である港区に対して望むことはありますか。（あてはまるものすべてに〇）","その他","16","12.1","13.1"
"202003","介護事業者に対する行政の支援について","Q22. 事業者の立場から、保険者である港区に対して望むことはありますか。（あてはまるものすべてに〇）","特にない","6","4.5","4.9"
"202003","介護事業者に対する行政の支援について","Q22. 事業者の立場から、保険者である港区に対して望むことはありますか。（あてはまるものすべてに〇）","無回答","10","7.6",

"港区保健福祉基礎調査（事業所）・単純集計表・介護事業者に対する行政の支援についてQ22","Ver202003",,,,,
