 4-(1)入港コンテナ船及びコンテナ貨物係留施設別表,,,,,,,,,,,,,（単位：隻、総トン、トン）
係留施設,入港コンテナ船,,,,,,コ ン テ ナ 取 扱 貨 物 量,,,,,,
,合計,,外航,,内航,,合計,外貿,,,内貿,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,,計,輸出,輸入,計,移出,移入
合計,615,"11,222,218",336,"9,158,759",279,"2,063,459","3,115,002","2,883,201","999,813","1,883,388","231,801","132,201","99,600"
,95.2%,93.2%,87.7%,90.6%,106.1%,106.7%,85.2%,83.5%,101.0%,76.4%,115.2%,120.1%,109.3%
,"1,278","23,157,014",735,"19,180,980",543,"3,976,034","7,090,465","6,662,118","1,780,467","4,881,651","428,347","243,248","185,099"
,96.4%,95.7%,92.5%,94.1%,102.3%,104.2%,93.6%,92.9%,101.2%,90.2%,106.7%,108.0%,105.1%
品川岸壁,131,"1,529,111",67,"667,159",64,"861,952","212,902","212,902","50,658","162,244",-,-,-
,97.8%,103.8%,95.7%,94.3%,100.0%,112.6%,69.5%,69.5%,76.9%,67.5%,-,-,-
,269,"3,119,400",145,"1,445,403",124,"1,673,997","548,279","548,279","96,749","451,530",-,-,-
,98.2%,103.5%,100.0%,99.0%,96.1%,107.8%,82.0%,82.0%,77.6%,83.0%,-,-,-
10号西岸壁,61,"684,783",-,-,61,"684,783","36,389",-,-,-,"36,389","24,812","11,577"
,101.7%,107.2%,-,-,101.7%,107.2%,99.8%,-,-,-,99.8%,96.5%,107.6%
,114,"1,283,682",-,-,114,"1,283,682","69,639",-,-,-,"69,639","47,154","22,485"
,97.4%,103.1%,-,-,97.4%,103.1%,101.3%,-,-,-,101.3%,98.2%,108.2%
青海コンテナふ頭（公共）,89,"1,177,263",64,"1,157,031",25,"20,232","425,259","404,131","111,675","292,456","21,128","15,984","5,144"
,89.0%,82.5%,84.2%,83.0%,104.2%,61.3%,72.2%,70.5%,96.1%,64.0%,136.1%,143.2%,118.1%
,189,"2,578,912",142,"2,531,038",47,"47,874","1,157,733","1,117,865","202,750","915,115","39,868","30,701","9,167"
,93.6%,92.1%,89.3%,92.1%,109.3%,90.9%,93.9%,93.0%,100.4%,91.5%,130.0%,163.4%,77.2%
青海コンテナふ頭(埠頭㈱),57,"1,530,223",50,"1,525,480",7,"4,743","421,528","409,399","129,681","279,718","12,129","11,709",420
,100.0%,94.1%,92.6%,93.9%,233.3%,271.6%,87.8%,86.7%,108.9%,79.2%,151.0%,343.4%,9.1%
,124,"3,397,067",111,"3,383,057",13,"14,010","1,002,610","979,096","236,863","742,233","23,514","23,094",420
,102.5%,102.1%,96.5%,101.8%,216.7%,401.2%,97.5%,96.3%,110.6%,92.5%,202.6%,330.6%,9.1%
お台場ライナーふ頭,9,"62,774",-,-,9,"62,774",-,-,-,-,-,-,-
,128.6%,99.6%,-,-,128.6%,99.6%,-,-,-,-,-,-,-
,27,"227,506",2,"65,102",25,"162,404","1,713","1,713",-,"1,713",-,-,-
,87.1%,114.1%,100.0%,100.0%,86.2%,121.0%,31.3%,31.3%,-,65.6%,-,-,-
大井コンテナふ頭,218,"5,701,451",137,"5,604,167",81,"97,284","1,826,372","1,741,912","662,961","1,078,951","84,460","27,689","56,771"
,95.2%,92.2%,88.4%,92.4%,109.5%,80.3%,91.6%,90.4%,102.0%,84.5%,126.3%,124.8%,127.1%
,457,"11,501,601",296,"11,309,556",161,"192,045","3,884,354","3,732,491","1,173,090","2,559,401","151,863","51,039","100,824"
,98.9%,93.1%,93.4%,93.1%,111.0%,90.6%,95.1%,94.8%,101.5%,92.1%,102.2%,83.4%,115.4%
その他,50,"536,613",18,"204,922",32,"331,691","192,552","114,857","44,838","70,019","77,695","52,007","25,688"
,84.7%,85.6%,64.3%,64.9%,103.2%,106.5%,77.5%,65.9%,116.4%,51.6%,104.6%,109.3%,96.2%
,98,"1,048,846",39,"446,824",59,"602,022","426,137","282,674","71,015","211,659","143,463","91,260","52,203"
,82.4%,83.0%,68.4%,68.9%,95.2%,98.0%,87.7%,82.2%,118.8%,74.5%,101.2%,101.1%,101.4%
,,,,,,,,,,,,,
上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,
