 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"6,093,153","12,710,882","1,040,041","1,870,570","999,813","1,780,467","1,972,704","5,049,885","1,883,388","4,881,651","1,268,425","2,354,037","1,811,983","3,436,390"
農水産品,,"404,866","857,223","22,762","39,210","22,762","39,203","359,085","768,773","297,350","649,648","11,078","24,641","11,941","24,599"
1,麦,"30,033","40,949",-,-,-,-,"25,192","32,734","1,789","3,241",315,645,"4,526","7,570"
2,米,"8,389","14,301",199,446,199,446,"1,995","3,870","1,995","3,870","4,885","7,690","1,310","2,295"
3,とうもろこし,"1,179","2,197",60,60,60,60,"1,119","2,137","1,119","2,137",-,-,-,-
4,豆類,"9,642","19,452",6,6,6,6,"9,141","18,681","9,141","18,681",370,515,125,250
5,その他雑穀,725,"1,395",-,-,-,-,390,"1,025",390,"1,025",305,320,30,50
6,野菜・果物,"128,651","285,209","2,446","6,050","2,446","6,043","118,624","260,915","80,292","171,285","3,296","9,021","4,285","9,223"
7,綿花,89,190,3,3,3,3,86,187,86,187,-,-,-,-
8,その他農産品,"18,938","40,366","1,367","1,926","1,367","1,926","17,546","38,210","17,546","38,208",25,150,-,80
9,羊毛,75,150,-,-,-,-,75,150,75,150,-,-,-,-
10,その他畜産品,"140,858","281,661","2,647","4,813","2,647","4,813","137,034","274,184","137,034","274,184",772,"1,924",405,740
11,水産品,"66,287","171,353","16,034","25,906","16,034","25,906","47,883","136,680","47,883","136,680","1,110","4,376","1,260","4,391"
林産品,,"70,609","156,855","1,859","2,601","1,859","2,601","61,060","139,890","61,060","136,508","6,331","11,892","1,359","2,472"
12,原木,266,496,151,151,151,151,115,295,115,295,-,-,-,50
13,製材,"59,172","130,920","1,656","2,388","1,656","2,388","51,402","118,008","51,402","114,626","5,271","9,148",843,"1,376"
14,樹脂類,"6,473","14,882",40,50,40,50,"5,473","12,847","5,473","12,847",615,"1,400",345,585
15,木材チップ,870,"1,918",12,12,12,12,735,"1,627",735,"1,627",-,-,123,279
16,その他林産品,648,"1,796",-,-,-,-,180,315,180,315,420,"1,309",48,172
17,薪炭,"3,180","6,843",-,-,-,-,"3,155","6,798","3,155","6,798",25,35,-,10
鉱産品,,"366,807","662,421","1,652","2,886","1,652","2,886","39,586","65,747","16,381","42,542","8,388","12,818","317,181","580,970"
18,石炭,"8,806","14,190",-,-,-,-,"4,278","9,662","4,278","9,662","1,543","1,543","2,985","2,985"
19,鉄鉱石,-,40,-,30,-,30,-,10,-,10,-,-,-,-
20,金属鉱,180,995,-,-,-,-,165,975,165,975,15,20,-,-
21,砂利・砂,"234,601","439,073",9,28,9,28,"1,272","2,746","1,272","2,746",130,"2,628","233,190","433,671"
22,石材,"58,301","108,817",199,468,199,468,"2,247","10,384","2,247","10,384",135,310,"55,720","97,655"
23,原油,93,393,3,3,3,3,90,390,90,390,-,-,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,石灰石,"15,882","29,545",-,-,-,-,15,15,15,15,75,105,"15,792","29,425"
26,原塩,612,"1,499",2,6,2,6,570,"1,433",570,"1,433",-,-,40,60
27,非金属鉱物,"48,332","67,869","1,439","2,351","1,439","2,351","30,949","40,132","7,744","16,927","6,490","8,212","9,454","17,174"
金属機械工業品,,"2,099,704","4,222,288","424,211","767,768","423,338","763,232","398,894","1,137,600","394,605","1,129,382","676,209","1,247,441","600,390","1,069,479"
28,鉄鋼,"4,777","11,141","2,537","6,772","2,537","3,694","2,050","3,994","2,050","3,994",80,215,110,160
29,鋼材,"121,354","222,236","19,434","33,908","19,434","33,908","9,886","20,119","7,827","16,730","2,012","4,184","90,022","164,025"
30,非鉄金属,"20,265","42,188","8,156","13,907","8,156","13,900","8,669","21,046","8,663","21,032",100,140,"3,340","7,095"
31,金属製品,"94,254","241,621","24,584","47,074","24,575","47,065","65,058","185,725","63,514","184,091","3,434","6,634","1,178","2,188"
