"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っていて、内容を読んだことがある[人]","知っているが、内容を読んだことはない[人]","知らなかったが、内容を読んでみたい[人]","知らないし内容を読んでみたいと思わない[人]","無回答[人]"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","全体",,"658","49","189","306","103","11"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","男性（計）","248","21","67","99","55","6"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","男性 18～29歳","23","0","5","7","11","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","男性 30～39歳","35","1","9","18","7","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","男性 40～49歳","41","2","11","22","6","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","男性 50～59歳","49","5","12","14","18","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","男性 60～69歳","39","6","8","18","6","1"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","男性 70歳以上","60","7","22","19","7","5"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","男性 無回答","1","0","0","1","0","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","女性（計）","400","27","120","202","47","4"
