"年月[西暦]","施設名称","施設所在地","施設方書","施設廃止日","緯度","経度"
"202110","ボストン矯正歯科　Ｄｒ．Ｋｉｙｏｋｏ　クリニック","東京都港区西新橋一丁目9番8号","南佐久間町ビル3階","2021/9/30","35.668663","139.752451"
"202110","三穂デンタルクリニック","東京都港区三田三丁目1番14号","M・A21 1、2階","2021/9/30","35.647416","139.74425"
"202110","医療法人社団精密審美会　六本木河野歯科クリニック","東京都港区六本木七丁目14番8号","アーツ・ショップビルディング4階","2021/10/9","35.663420","139.731795"
"202110","六本木しらゆり歯科","東京都港区六本木七丁目14番8号","アーツショップビル7階","2021/10/9","35.663420","139.731795"
"202111","グランティース白金台歯科","東京都港区白金台四丁目2番11号","白金台クレストビル1階","2021/10/31","35.639155","139.727982"
"202111","杉本歯科クリニック","東京都港区三田一丁目3番28号","スカラコート麻布十番1階","2021/11/2","35.654498","139.744007"
"202112","片桐歯科医院","東京都港区南青山五丁目11番1号","櫻井ビル1階","2021/11/30","35.662363","139.711764"
"202201","小川デンタルクリニック","東京都港区南青山五丁目13番1号","第42荒井ビル7階","2022/1/6","35.661306","139.713739"
"202202","新赤坂歯科","東京都港区赤坂三丁目21番8号","久保ビル3階","2022/1/31","35.676467","139.736183"
"202202","山内歯科医院","東京都港区白金台三丁目16番10号","1階","2022/2/13","35.636471","139.723540"
"202202","ｙｕｋｉ　ＤＥＮＴＡＬ　ｃａｒｅ","東京都港区南麻布五丁目16番8号","el Sur広尾3階","2022/2/1","35.651144","139.723352"
"202203","医療法人社団啓歯会　国際浜松町ビル歯科","東京都港区海岸一丁目9番18号","国際浜松町ビル1階","2022/2/28","35.655593","139.761414"
"202203","市川歯科医院","東京都港区西麻布一丁目9番3号",,"2022/3/1","35.661225","139.725668"
"202203","酒井歯科医院","東京都港区東麻布三丁目4番8号",,"2022/2/28","35.657398","139.738034"
"202203","ＳＦ六本木東京ｄｅｎｔａｌ　ｏｒｔｈｏｄｏｎｔｉｃｓ","東京都港区六本木三丁目12番5号","STELLA六本木3階","2022/2/28","35.662842","139.733517"

"歯科診療所廃止一覧(令和4年3月31日現在)","Ver202203",,,,,
