"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"あざき歯科医院","東京都港区赤坂一丁目5番2号","外堀通ビル5階","03-5770-1060","2014/11/4","歯科、矯正歯科、小児歯科、歯科口腔外科","35.670606","139.743276"
"高橋歯科クリニック","東京都港区赤坂一丁目5番12号","堀内ビル4階","03-3505-6491","1993/2/12","歯科","35.670487","139.742735"
"ナグモ歯科赤坂クリニック","東京都港区赤坂一丁目5番14号","橋本ビル3階","03-3585-8066","1979/1/27","歯科、矯正歯科、小児歯科","35.670555","139.742931"
"ナカダデンタルクリニック","東京都港区赤坂一丁目12番32号","アーク森ビル3階","03-5563-9331","1999/1/31","歯科、歯科口腔外科、小児歯科","35.667113","139.740135"
"赤坂ヴィーナスデンタルクリニック","東京都港区赤坂二丁目3番5号","赤坂スターゲートプラザ2階","03-3585-0081","2011/6/6","歯科、矯正歯科、小児歯科、歯科口腔外科","35.671237","139.741652"
"くめた歯科クリニック","東京都港区赤坂二丁目9番3号","松浦ビル1階","03-6230-3030","2003/4/25","歯科、歯科口腔外科","35.671198","139.741153"
"みつこ歯科医院","東京都港区赤坂二丁目9番11号","オリックス赤坂2丁目ビル地下2階 302号室 ","03-6441-3789","2023/7/1","歯科、歯科口腔外科、矯正歯科","35.671072","139.740973"
"名執デンタルオフィス","東京都港区赤坂二丁目10番11号","フォーシーズ溜池山王ビル7階","03-5549-1898","2014/2/6","歯科、矯正歯科、小児歯科、歯科口腔外科","35.670051","139.741512"
"ＴＯＴＡＬ　ＴＯＯＴＨ　ＴＲＥＡＴＭＥＮＴ","東京都港区赤坂二丁目11番3号","福田ビルウエスト1階","03-3585-0648","2023/12/5","歯科、矯正歯科、小児歯科、歯科口腔外科","35.670153","139.741185"
"寺西歯科医院","東京都港区赤坂二丁目11番7号","ATT新館地下1階","03-3582-4400","2014/1/15","歯科、矯正歯科、小児歯科、歯科口腔外科","35.670055","139.741043"
"御任歯科医院","東京都港区赤坂二丁目12番20号","ディアシティ赤坂東館1階","03-3587-0388","1999/1/25","歯科、矯正歯科、小児歯科、歯科口腔外科","35.67065","139.740814"
"医療法人社団恵慈会　赤坂国際ケージー歯科","東京都港区赤坂二丁目12番33号","赤坂永楽ビル4階","03-3587-0418","2014/3/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.671808","139.739277"
"ヒトミ歯科赤坂","東京都港区赤坂二丁目13番8号","赤坂ロイヤルプラザ208","03-6277-7981","2017/9/25","歯科、矯正歯科、小児歯科、歯科口腔外科","35.672152","139.738658"
"赤坂・ツーシー・デンタル","東京都港区赤坂二丁目14番7号","赤坂栄ビル1階","03-3586-7271","2002/8/1","歯科","35.672178","139.738209"
"赤坂ひろデンタル　ＳＭＩＬＥ　ＤＥＳＩＧＮ　＆　ＷＯＲＫＳ","東京都港区赤坂二丁目14番31号","ウィンド赤坂ビル2階","03-6230-9575","2022/5/6","歯科、矯正歯科、歯科口腔外科、小児歯科","35.672693","139.737281"
"門脇歯科医院","東京都港区赤坂二丁目14番33号","栄屋清水ビル2F","03-3582-8056","2021/2/24","歯科","35.672798","139.73772"
"市川デンタル赤坂オフィス","東京都港区赤坂二丁目15番12号","パール赤坂ビル2階","03-3505-5733","2012/10/2","歯科、矯正歯科、小児歯科、歯科口腔外科","35.671351","139.7376"
"ＡＫＡＳＡＫＡ　ＩＴＯ　ＤＥＮＴＡＬ　ＣＬＩＮＩＣ","東京都港区赤坂二丁目17番55号","1階","03-3584-4020","2024/3/15","歯科","35.670463","139.738159"
"ささやデンタルクリニック","東京都港区赤坂二丁目17番58号","赤坂福住ビル1階B号室","03-5545-6333","2005/4/28","歯科、矯正歯科、小児歯科、歯科口腔外科","35.670576","139.737774"
"関歯科医院","東京都港区赤坂二丁目19番4号","関ビル2階3階","03-3583-3320","2014/1/1","歯科、小児歯科、歯科口腔外科","35.668558","139.740118"
"ヒルサイド赤坂デンタルクリニック","東京都港区赤坂二丁目20番5号","デニス赤坂ビル1階","03-6441-2422","2018/9/1","歯科、小児歯科、歯科口腔外科、矯正歯科","35.668914","139.739056"
"東京アンバサダー歯科赤坂ヒルズ","東京都港区赤坂二丁目22番15号","赤坂加藤ビル2階","03-3584-2277","2012/4/1","歯科、歯科口腔外科","35.668149","139.738918"
"赤坂Ｂ＆Ｓ歯科・矯正歯科","東京都港区赤坂三丁目2番2号","日総第24ビル 1階・2階","03-5544-9426","2023/12/1","歯科、矯正歯科","35.676264","139.737241"
"医療法人社団晴叡会　　西山デンタルオフィス","東京都港区赤坂三丁目4番3号","赤坂ゲイトウェイビル2階","03-5575-7766","2015/5/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.674115","139.738399"
"まえだ歯科","東京都港区赤坂三丁目7番16号","越川ビル2階","03-3568-3033","2003/6/20","歯科、矯正歯科、歯科口腔外科","35.675172","139.73756"
"医療法人社団白翔会赤坂歯科クリニック","東京都港区赤坂三丁目8番15号","2階","03-3588-5088","2012/4/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.676036","139.737153"
"岩本歯科医院","東京都港区赤坂三丁目9番1号","紀陽ビル7階","03-3583-3650","2013/4/25","歯科","35.677405","139.736243"
"ＫＥＹ　ＤＥＮＴＡＬ　ＣＬＩＮＩＣ","東京都港区赤坂三丁目9番2号","No.R赤坂見附2階","03-5114-0118","2021/6/21","歯科、歯科口腔外科、矯正歯科、小児歯科","35.677282","139.736203"
"滝沢デンタルクリニック","東京都港区赤坂三丁目9番18号","B.I.C赤坂ビル4階","03-3583-0506","1980/6/25","歯科","35.677553","139.736163"
"難波歯科医院","東京都港区赤坂三丁目11番1号","難波ビル3階","03-3583-3143","1979/2/19","歯科","35.675356","139.737191"
"赤坂バンデ歯科・矯正歯科","東京都港区赤坂三丁目13番6号","国際天野ビル2階A号室","03-6441-3419","2023/3/1","歯科、小児歯科、歯科口腔外科、矯正歯科","35.673069","139.73768"
"医療法人社団優慶会赤坂デンタルクリニック","東京都港区赤坂三丁目13番13号","赤坂中村ビル3階","03-3589-1548","2000/9/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.673378","139.737201"
"聖美歯科","東京都港区赤坂三丁目14番9号","赤坂清水ビル3階","03-3583-2667","2012/10/16","歯科、矯正歯科、歯科口腔外科","35.673944","139.737002"
"大竹歯科クリニック","東京都港区赤坂三丁目15番4号","赤坂バリ島ビル 2階","03-3560-6922","2000/9/20","歯科、矯正歯科、小児歯科","35.674260","139.737274"
"芳賀歯科医院","東京都港区赤坂三丁目15番9号","赤坂萬屋ビル2階","03-3584-1128","2011/10/17","歯科、歯科口腔外科","35.674415","139.736565"
"赤坂ＴＫデンタル","東京都港区赤坂三丁目15番9号","ACRビル6階","03-6441-2822","2021/4/14","歯科、歯科口腔外科","35.674340","139.736645"
"兼松歯科医院","東京都港区赤坂三丁目17番7号","門田ビル3階","03-3583-3811","2002/8/12","歯科","35.674927","139.736323"
"医療法人社団キュアスマイルササコ歯科クリニック","東京都港区赤坂三丁目18番10号","第二大坂屋ビル2階","03-3586-8486","2016/11/1","歯科","35.675541","139.736133"
"赤坂見附磯谷歯科室","東京都港区赤坂三丁目21番17号","ASK赤坂5階","03-3582-4011","1994/12/12","歯科、矯正歯科","35.677105","139.735405"
"医療法人社団郁進会赤坂見附歯科","東京都港区赤坂三丁目21番21号","サンワット渡邊ビル1階","03-3586-6480","2014/4/1","歯科、小児歯科、歯科口腔外科","35.677337","139.735804"
"大畑歯科医院","東京都港区赤坂四丁目9番18号",,"03-3408-2298","1977/1/1","歯科","35.674967","139.732541"
"青山通り歯科","東京都港区赤坂四丁目9番25号","新東洋赤坂ビル地下1階","03-3423-1516","2015/7/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.67561","139.73293"
"上條歯科","東京都港区赤坂四丁目11番17号",,"03-3582-2670","1982/10/13","歯科","35.673444","139.732801"
"橋口歯科赤坂ガーデンシティ","東京都港区赤坂四丁目15番1号","赤坂ガーデンシティ地下2階","03-5573-8241","2006/3/30","歯科、矯正歯科、小児歯科","35.674271","139.731458"
"医療法人社団ティースプランニング　赤坂デンタルオフィス","東京都港区赤坂五丁目1番5号","管野ビル2階・3階","03-3583-4618","2012/2/1","歯科、矯正歯科、歯科口腔外科","35.673943","139.736727"
"レイコデンタルクリニック","東京都港区赤坂五丁目1番30号","進藤ビル1階","03-5114-6077","2008/6/26","歯科、矯正歯科、小児歯科、歯科口腔外科","35.673745","139.735166"
"歯科室　ｔｈｅ　ｂｒｕｓｈ","東京都港区赤坂五丁目1番35号","1階","03-6441-2850","2023/4/6","歯科、矯正歯科、小児歯科、歯科口腔外科","35.673917","139.736047"
"医療法人社団　赤坂まつの矯正歯科","東京都港区赤坂五丁目2番20号","赤坂パークビル2階","03-5573-8893","1999/10/1","矯正歯科","35.671857","139.733682"
"博報堂診療所","東京都港区赤坂五丁目3番1号","赤坂Bizタワー12階","03-6441-6047","2008/5/7","歯科、内科、眼科、心療内科","35.673175","139.736359"
"石川デンタルクリニック","東京都港区赤坂五丁目3番1号","赤坂Bizタワー105-2","03-5563-1684","2008/2/26","歯科","35.673175","139.736359"
"東京放送診療所","東京都港区赤坂五丁目3番6号",,"03-5571-2390","1964/11/6","内科、神経科、整形外科、眼科、耳鼻いんこう科、歯科","35.671758","139.734876"
"赤坂さくら歯科クリニック","東京都港区赤坂五丁目4番6号","赤坂三辻ビル5階","03-6807-4817","2023/4/1","歯科、小児歯科、矯正歯科、歯科口腔外科","35.672202","139.736034"
"医療法人社団皓宏会　さいき歯科クリニック","東京都港区赤坂五丁目4番11号","山口建設第2ビル2階","03-3584-9080","2005/4/1","歯科","35.671562","139.735445"
"赤坂ＯＮＯ　Ｄｅｎｔａｌ　Ｃｌｉｎｉｃ","東京都港区赤坂五丁目4番11号","ポルトボヌール2F","03-6807-4668","2024/1/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.671630","139.735525"
"漆崎歯科","東京都港区赤坂五丁目4番13号","ホワイト赤坂4階","03-6459-1590","2009/4/24","歯科、歯科口腔外科","35.671430","139.735205"
"医療法人社団映志会　赤坂クレール歯科クリニック","東京都港区赤坂五丁目5番9号","第七セイコービル2階","03-5797-7970","2019/10/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.670685","139.734334"
"医療法人財団興学会赤坂歯科診療所","東京都港区赤坂五丁目5番18号","AUSPICE赤坂ビル1階","03-3583-1818","2014/10/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.670392","139.733564"
"赤坂鈴木デンタルオフィス","東京都港区赤坂六丁目4番11号","ドミ・エメロード101、102","03-6277-7717","2023/3/25","歯科、矯正歯科、小児歯科、歯科口腔外科","35.670058","139.734647"
"公園前デンタルオフィス","東京都港区赤坂六丁目19番40号","秀和赤坂レジデンス202","03-3585-6480","2019/10/19","歯科、小児歯科","35.667207","139.733529"
"クロエクリニック青山","東京都港区赤坂七丁目1番15号","アトム青山タワー2階","03-5542-1177","2023/9/4","歯科、内科、皮膚科、形成外科","35.674272","139.729645"
"今村歯科医院","東京都港区赤坂七丁目5番34号","インペリアル赤坂フォーラム208","03-3586-7773","2001/9/1","歯科、矯正歯科、歯科口腔外科、小児歯科","35.671156","139.730276"
"医療法人社団赤坂審美会　インペリアル赤坂フォーラムデンタルクリニック","東京都港区赤坂七丁目5番34号","インペリアル赤坂フォーラム108","03-3585-8519","1998/10/1","歯科、矯正歯科","35.671156","139.730276"
"あかさか７丁目デンタルオフィス","東京都港区赤坂七丁目9番3号","赤坂三真ビル1階","03-6441-0077","2022/11/1","歯科、歯科口腔外科、矯正歯科、小児歯科","35.670210","139.733417"
"医療法人社団梓会古畑歯科医院","東京都港区赤坂七丁目10番8号","江戸清ビル2階","03-3587-1823","2022/5/6","歯科、歯科口腔外科、矯正歯科、小児歯科","35.669543","139.732581"
"青山一丁目麻布歯科","東京都港区赤坂八丁目5番32号","田中駒ビル1階","03-6434-9877","2023/10/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.671947","139.726372"
"檜町デンタルオフィス","東京都港区赤坂九丁目1番7号","秀和赤坂レジデンシャルホテル106","03-5786-0407","2004/5/21","歯科、矯正歯科、小児歯科","35.668055","139.732763"
"乃木坂歯科クリニック","東京都港区赤坂九丁目5番26号","パレ乃木坂202","03-3404-9838","1981/5/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.668005","139.72868"
"六本木ルアナ歯科","東京都港区赤坂九丁目6番23号","葵ビル401","050-8892-7598","2023/11/8","歯科、歯科口腔外科","35.666026","139.728984"
"ナカ歯科乃木坂診療所","東京都港区赤坂九丁目6番28号","アルベルゴ乃木坂402号","03-3479-1815","2022/7/5","歯科","35.666545","139.728445"
"医療法人社団東興会　乃木坂猪俣歯科","東京都港区赤坂九丁目6番28号","アルベルゴ乃木坂204","03-3402-6481","2022/11/1","歯科、歯科口腔外科、矯正歯科、小児歯科","35.666545","139.728445"
"医療法人社団ミッドタウンクリニック　東京ミッドタウンデンタルクリニック","東京都港区赤坂九丁目7番1号","ミッドタウンタワー6階","03-5413-7912","2007/2/1","眼科、歯科、矯正歯科、歯科口腔外科","35.666126","139.731247"
