"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","的確に提供されている[人]","まあ的確に提供されている[人]","あまり的確に提供されていない[人]","的確に提供されていない[人]","わからない[人]","無回答[人]"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","全体",,"658","109","349","54","10","134","2"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性（計）","248","41","126","21","5","55","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性 18～29歳","23","8","5","1","1","8","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性 30～39歳","35","5","17","3","1","9","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性 40～49歳","41","7","23","3","1","7","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性 50～59歳","49","8","31","4","0","6","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性 60～69歳","39","2","22","6","1","8","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性 70歳以上","60","11","27","4","1","17","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","男性 無回答","1","0","1","0","0","0","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性（計）","400","65","218","33","5","77","2"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性 18～29歳","28","3","12","2","0","11","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性 30～39歳","65","3","42","7","1","12","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性 40～49歳","95","13","62","5","1","14","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性 50～59歳","82","13","43","11","0","15","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性 60～69歳","55","10","32","4","2","7","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性 70歳以上","75","23","27","4","1","18","2"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0","0","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","性・年代別","無回答","10","3","5","0","0","2","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","自営業主・家族従業","92","10","49","10","1","22","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","会社員・団体職員・公務員","280","41","158","20","6","55","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","アルバイト・パートタイマー","58","13","30","4","0","11","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","家事専業","94","17","55","8","1","13","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","学生","20","5","6","3","0","6","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","無職","83","18","36","7","1","20","1"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","その他","26","5","13","1","1","6","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","職業別","無回答","5","0","2","1","0","1","1"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","居住地区別","芝地区","107","17","64","6","2","17","1"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","居住地区別","麻布地区","140","32","60","11","2","35","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","居住地区別","赤坂地区","88","13","43","10","1","21","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","居住地区別","高輪地区","155","21","87","10","3","34","0"
"202003","区政全般","Q6. 区では、｢広報みなと｣や｢区公式ホームページ｣をはじめ、さまざまな方法で区政に関する情報をお伝えしています。区から必要な情報が的確に提供されていると思いますか。（１つ選択）","居住地区別","芝浦港南地区","164","26","93","17","2","25","1"
