"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている[人]","知らない[人]","無回答[人]"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","全体",,"658","58","597","3"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性（計）","248","19","228","1"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 18～29歳","23","0","23","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 30～39歳","35","2","33","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 40～49歳","41","3","38","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 50～59歳","49","4","45","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 60～69歳","39","6","33","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 70歳以上","60","3","56","1"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","男性 無回答","1","1","0","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性（計）","400","39","360","1"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 18～29歳","28","1","27","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 30～39歳","65","3","61","1"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 40～49歳","95","8","87","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 50～59歳","82","5","77","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 60～69歳","55","9","46","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 70歳以上","75","13","62","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","性・年代別","無回答","10","0","9","1"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","自営業主・家族従業","92","5","87","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","会社員・団体職員・公務員","280","25","255","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","アルバイト・パートタイマー","58","5","53","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","家事専業","94","9","84","1"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","学生","20","0","20","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","無職","83","11","71","1"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","その他","26","3","23","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","職業別","無回答","5","0","4","1"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","居住地区別","芝地区","107","12","94","1"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","居住地区別","麻布地区","140","9","131","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","居住地区別","赤坂地区","88","6","82","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","居住地区別","高輪地区","155","19","135","1"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","居住地区別","芝浦港南地区","164","11","153","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","居住地区別","無回答","4","1","2","1"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","住居形態別","持家（一戸建）","95","17","78","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","住居形態別","持家（マンション）","302","29","272","1"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","住居形態別","借家（一戸建）","7","0","7","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","住居形態別","民間の賃貸マンション・アパート","171","5","166","0"
"202003","区基本計画","Q10. 区は、平成27(2015)年度に策定した「港区基本計画（平成27(2015)年度～平成32(2020)年度）」の後期3年に当たる、平成30(2018)年度から令和2(2020)年度までの計画を改定しました。あなたはこのことを知っていますか。（１つ選択）","住居形態別","都営住宅・区営住宅・区立住宅","28","2","25","1"
