"年月[西暦]","調査項目","設問","職種","勤務形態","人数[人]","平均勤続年数[年]"
"202003","組織・体制・人材について","Q1-1. 貴事業所の職員数及び平均勤続年数をご記入ください（ご回答者を含む）。","1.主任介護支援専門員","常勤専従","0.64","－"
"202003","組織・体制・人材について","Q1-1. 貴事業所の職員数及び平均勤続年数をご記入ください（ご回答者を含む）。","1.主任介護支援専門員","常勤兼務","0.46","9.27"
"202003","組織・体制・人材について","Q1-1. 貴事業所の職員数及び平均勤続年数をご記入ください（ご回答者を含む）。","1.主任介護支援専門員","常勤兼務 換算数","0.67","6.00"
"202003","組織・体制・人材について","Q1-1. 貴事業所の職員数及び平均勤続年数をご記入ください（ご回答者を含む）。","1.主任介護支援専門員","非常勤","0.12","5.67"
"202003","組織・体制・人材について","Q1-1. 貴事業所の職員数及び平均勤続年数をご記入ください（ご回答者を含む）。","1.主任介護支援専門員","非常勤 換算数","0.05","1.00"
"202003","組織・体制・人材について","Q1-1. 貴事業所の職員数及び平均勤続年数をご記入ください（ご回答者を含む）。","2.介護支援専門員","常勤専従","1.70","－"
"202003","組織・体制・人材について","Q1-1. 貴事業所の職員数及び平均勤続年数をご記入ください（ご回答者を含む）。","2.介護支援専門員","常勤兼務","0.88","7.23"
"202003","組織・体制・人材について","Q1-1. 貴事業所の職員数及び平均勤続年数をご記入ください（ご回答者を含む）。","2.介護支援専門員","常勤兼務 換算数","0.94","5.63"
"202003","組織・体制・人材について","Q1-1. 貴事業所の職員数及び平均勤続年数をご記入ください（ご回答者を含む）。","2.介護支援専門員","非常勤","1.63","5.56"
"202003","組織・体制・人材について","Q1-1. 貴事業所の職員数及び平均勤続年数をご記入ください（ご回答者を含む）。","2.介護支援専門員","非常勤 換算数","1.37","4.08"
"202003","組織・体制・人材について","Q1-1. 貴事業所の職員数及び平均勤続年数をご記入ください（ご回答者を含む）。","3. １・２以外の職員","常勤専従","7.01","－"
"202003","組織・体制・人材について","Q1-1. 貴事業所の職員数及び平均勤続年数をご記入ください（ご回答者を含む）。","3. １・２以外の職員","常勤兼務","2.74","5.85"
"202003","組織・体制・人材について","Q1-1. 貴事業所の職員数及び平均勤続年数をご記入ください（ご回答者を含む）。","3. １・２以外の職員","常勤兼務 換算数","2.57","5.29"
"202003","組織・体制・人材について","Q1-1. 貴事業所の職員数及び平均勤続年数をご記入ください（ご回答者を含む）。","3. １・２以外の職員","非常勤","7.57","3.96"
"202003","組織・体制・人材について","Q1-1. 貴事業所の職員数及び平均勤続年数をご記入ください（ご回答者を含む）。","3. １・２以外の職員","非常勤 換算数","3.67","3.76"

"港区保健福祉基礎調査（事業所）・単純集計表・組織体制人材についてQ1-1","Ver202003",,,,,
