"名称","所在地","連絡先","交通案内","緯度","経度"
"子育てひろば　あっぴぃ港南","東京都港区港南二丁目3番13号　品川フロントビルキッズ館3階","03-6712-0688",,"35.629186","139.743229"
"子育てひろば　あっぴぃ芝浦","東京都港区芝浦三丁目1番16号","03-5730-3252","JR線田町駅東口徒歩4分、都営三田線・浅草線 三田駅A6出口徒歩6分、港区コミュニティバス（ちぃばす）田町駅東口徒歩3分","35.645216","139.750407"
"子育てひろば　あっぴぃ赤坂・みなと保育サポート赤坂","東京都港区赤坂九丁目4番2号　パークコート赤坂檜町ザタワー2階","03-3475-3900","東京メトロ日比谷線六本木駅４a番出口徒歩7分、都営地下鉄大江戸線六本木駅７番出口徒歩7分、東京メトロ千代田線乃木坂駅２番出口徒歩3分、ちぃばす・都営バス赤坂六丁目徒歩4分、檜町公園徒歩6分、赤坂小学校徒歩1分、乃木公園徒歩3分","35.668377","139.729839"
"子育てひろば　あっぴぃ白金台・みなと保育サポート白金台","東京都港区白金台四丁目6番2号　ゆかしの杜1階","03-6450-4249","東京メトロ南北線・都営地下鉄三田線白金台駅出口2徒歩3分、都営バス白金台駅前バス停徒歩3分","35.639161","139.726711"
"子育てひろば　あっぴぃ台場","東京都港区台場一丁目7番1号　アクアシティお台場4階","03-5520-9061",,"35.628175","139.774373"
"子育てひろば　あい・ぽーと","東京都港区南青山二丁目25番1号","03-5786-3250","地下鉄銀座線「外苑前」駅　１b出口から徒歩2分、銀座線・半蔵門線・大江戸線「青山一丁目」駅　5番出口から徒歩10分","35.669903","139.718451"
"子育てひろば　あっぴぃ港南四丁目","東京都港区港南四丁目2番4号　都営住宅内","03-5796-8862",,"35.630213","139.747604"
"子育てひろば　あっぴぃ麻布","東京都港区六本木五丁目12番24号　港区立麻布図書館1階","03-5114-9900",,"35.657508","139.735818"
"子育てひろば　あっぴぃ新橋","東京都港区新橋六丁目4番2号　きらきらプラザ新橋2・3階","03-5425-7525","都営三田線御成門駅A4出口徒歩5分","35.662317","139.754025"
"子育てひろば　あっぴぃ西麻布","東京都港区西麻布二丁目13番3号　西麻布いきいきプラザ3階","03-5467-7175","東京メトロ千代田線乃木坂駅5番出口徒歩7分","35.660764","139.722809"
"子ども家庭支援センター（みなとキッズサポートセンター）","東京都港区南青山五丁目7番11号","03-5962-7206","東京メトロ銀座線・半蔵門線・千代田線表参道駅B3出口徒歩3分、都営バス：渋88「南青山六丁目」下車4分、ちぃばす：青山ルート「南青山六丁目」下車5分、ちぃばす：青山ルート「青南小学校」下車6分","35.662774","139.713122"
"みなと子育て応援プラザPokke","東京都港区芝五丁目18番1-102号","03-6435-0411",,"35.648186","139.747741"

"子育てひろば・子育て関連施設","ver202104",,,,
