全国地方公共団体コード,ID,地方公共団体名,地区名,ゴミの品目,ゴミの品目_カナ,ゴミの品目_英字,分別区分,注意点,備考,粗大ごみ回収料金
133817,133817GMLT000011,三宅村,全域,生ゴミ,ナマゴミ,燃えるゴミ,,生ゴミ等は水分を十分に切ること。,,
133817,133817GMLT000012,三宅村,全域,ビニール,ビニール,燃えるゴミ,,,,
133817,133817GMLT000013,三宅村,全域,プラスチック類,プラスチックルイ,燃えるゴミ,,,,
133817,133817GMLT000014,三宅村,全域,ゴム,ゴム,燃えるゴミ,,,,
133817,133817GMLT000015,三宅村,全域,革類,カワルイ,燃えるゴミ,,,,
133817,133817GMLT000016,三宅村,全域,ポリ容器,ポリヨウキ,燃えるゴミ,,,,
133817,133817GMLT000017,三宅村,全域,トレイ等,トレイ,燃えるゴミ,,,,
133817,133817GMLT000018,三宅村,全域,紙くず,カミクズ,燃えるゴミ,,,,
133817,133817GMLT000019,三宅村,全域,布類,ヌノルイ,燃えるゴミ,,,,
133817,133817GMLT000020,三宅村,全域,刈り込み・木くず,カリコミ・キクズ,燃えるゴミ,,刈り込み・木くずは太さ5cm以内のものを長さ50cm程度に切り、1回につき3束までで出すこと。,,
133817,133817GMLT000021,三宅村,全域,古紙,コシ,燃えるゴミ,,古新聞・古雑誌は、一辺が30cm程度にまとめて強く束ねて出すこと。,,
133817,133817GMLT000022,三宅村,全域,牛乳パック,ギュウニュウパック,燃えるゴミ,,,,
133817,133817GMLT000023,三宅村,全域,ダンボール,ダンボール,燃えるゴミ,,ダンボール等は、一辺が30cm程度にまとめて強く束ねて出すこと。,,
133817,133817GMLT000024,三宅村,全域,アルミ缶・スチール缶・その他缶,アルミカン・スチールカン・ソノタカン,燃えないゴミ・資源ごみ,缶類,中身は洗って汚物等を取り除いてから出すこと。,,
133817,133817GMLT000025,三宅村,全域,ビン類（ビールビンを除く）・陶器類・ガラス,ビンルイ・トウキルイ・ガラス,燃えないゴミ・資源ごみ,ビン類,ビールビン等再利用ビンは、販売店に返すこと。中身は洗って汚物等を取り除いてから出すこと。,,
133817,133817GMLT000026,三宅村,全域,鉄類,テツルイ,燃えないゴミ・資源ごみ,無価物,,,
133817,133817GMLT000027,三宅村,全域,小型電気製品,コガタカデン,燃えないゴミ・資源ごみ,無価物,小型電気製品は片手サイズのものまでを出すこと。,,
133817,133817GMLT000028,三宅村,全域,おもちゃ,オモチャ,燃えないゴミ・資源ごみ,無価物,おもちゃ類は片手サイズのものまでを出すこと。,,
133817,133817GMLT000029,三宅村,全域,傘,カサ,燃えないゴミ・資源ごみ,無価物,,,
133817,133817GMLT000030,三宅村,全域,スプレー缶,スプレーカン,燃えないゴミ・資源ごみ,無価物,スプレー缶はガスを必ず抜いてから出すこと。,,
133817,133817GMLT000031,三宅村,全域,乾電池,カンデンチ,燃えないゴミ・資源ごみ,有害ゴミ,,,
133817,133817GMLT000032,三宅村,全域,体温計（水銀使用のもの等）,タイオンケイ,燃えないゴミ・資源ごみ,有害ゴミ,割れて水銀がこぼれないように出すこと。,,
133817,133817GMLT000033,三宅村,全域,蛍光灯・電球,ケイコウトウ,燃えないゴミ・資源ごみ,有害ゴミ,蛍光灯・電球は破裂しないよう出すこと。,,
133817,133817GMLT000034,三宅村,全域,清涼飲料水・ジュース・ミネラルウォーター・酒類・しょうゆ,セイリョウインリョウスイ・ジュース・ミネラルウォーター・サケルイ・ショウユ,燃えないゴミ・資源ごみ,ペットボトル,キャップやラベルは必ず取って出すこと。中身を使い切って、水洗いをすること。ペットボトルだけを、収集場所に出してください。,,
133817,133817GMLT000035,三宅村,全域,木製家具,モクセイカグ,粗大ゴミ,可燃性粗大ゴミ,粗大ゴミについては直接持ち込んでください。,,
133817,133817GMLT000036,三宅村,全域,布団・ジュータン,フトン・ジュータン,粗大ゴミ,可燃性粗大ゴミ,"粗大ゴミについては直接持ち込んでください。
布団・ジュータン等はたたんで、紐で縛るなどしてから出すこと。",,
133817,133817GMLT000037,三宅村,全域,マットレス,マットレス,粗大ゴミ,可燃性粗大ゴミ,"粗大ゴミについては直接持ち込んでください。
スプリング付きマットレス等は不燃性粗大ゴミとすること。金属類は取り除くこと。",,
133817,133817GMLT000038,三宅村,全域,金属製品,キンゾクセイヒン,粗大ゴミ,不燃性粗大ゴミ,"粗大ゴミについては直接持ち込んでください。
石油ストーブ・18リットル缶等は、中の灯油を必ず抜いてから持ち込むこと。",,
133817,133817GMLT000039,三宅村,全域,自転車,ジテンシャ,粗大ゴミ,不燃性粗大ゴミ,粗大ゴミについては直接持ち込んでください。,,
133817,133817GMLT000040,三宅村,全域,テレビ・エアコン・冷蔵庫・洗濯機,テレビ・エアコン・レイゾウコ・センタクキ,回収・引取はしません,,"指定の場所で引受を行っていますので、直接持込んでください。もしくは、ご購入の販売店に問い合わせてください。
※詳細は、「家電リサイクル法」による廃家電の処理についてご覧ください。",,
133817,133817GMLT000041,三宅村,全域,パソコン,パソコン,回収・引取はしません,,"各製造メーカーによる自主回収がありますので、各製造メーカーに「回収申込」をしてください。
回収するメーカー等がない場合、パソコン３R推進協会へお問い合わせください。",,
133817,133817GMLT000042,三宅村,全域,自動車,ジテンシャ,回収・引取はしません,,"自動車リサイクル法により回収されます。
島内の引取業者が引取ります。最初に引取業者に問い合わせ、お申し込みをしてください。",,
