"科目","金額[百万円]"
"年度[西暦]","2022"
"期間（自）","20220401"
"期間（至）","20230331"
"経常費用","232065"
"経常費用 業務費用","114599"
"経常費用 業務費用 人件費","22493"
"経常費用 業務費用 人件費 職員給与費","17840"
"経常費用 業務費用 人件費 賞与等引当金繰入額","1046"
"経常費用 業務費用 人件費 退職手当引当金繰入額","1244"
"経常費用 業務費用 人件費 その他","2362"
"経常費用 業務費用 物件費等","77634"
"経常費用 業務費用 物件費等 物件費","59941"
"経常費用 業務費用 物件費等 維持補修費","4481"
"経常費用 業務費用 物件費等 減価償却費","13212"
"経常費用 業務費用 物件費等 その他","0"
"経常費用 業務費用 その他の業務費用","14473"
"経常費用 業務費用 その他の業務費用 支払利息","11"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","671"
"経常費用 業務費用 その他の業務費用 その他","13792"
"経常費用 移転費用","117465"
"経常費用 移転費用 補助金等","89837"
"経常費用 移転費用 社会保障給付","26135"
"経常費用 移転費用 その他","1494"
"経常収益","24147"
"経常収益 使用料及び手数料","10602"
"経常収益 その他","13545"
"純経常行政コスト","-207918"
"臨時損失","128"
"臨時損失 災害復旧事業費","-"
"臨時損失 資産除売却損","26"
"臨時損失 損失補償等引当金繰入額","-"
"臨時損失 その他","103"
"臨時利益","1"
"臨時利益 資産売却益","1"
"臨時利益 その他","0"
"純行政コスト","-208046"

"連結会計財務書類（行政コスト計算書）(令和4年4月1日から令和5年3月31日)","Ver202303"
