"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","選択肢A","選択肢B","選択肢C","選択肢D","選択肢E","選択肢F","選択肢G","選択肢H","選択肢I","選択肢J","選択肢K"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","全体",,"558","155","131","118","110","71","146","61","126","254","14","42"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","男性（計）","231","75","62","49","50","31","47","32","48","116","7","16"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","男性 18～29歳","13","3","5","2","4","2","2","1","2","4","0","1"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","男性 30～39歳","38","13","10","7","3","9","6","4","3","22","1","5"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","男性 40～49歳","50","22","12","8","8","6","10","4","4","29","4","4"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","男性 50～59歳","47","11","13","13","17","7","12","6","11","21","1","4"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","男性 60～69歳","42","12","13","6","9","4","11","9","11","25","0","1"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","男性 70歳以上","40","13","9","13","9","3","6","7","17","14","1","1"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","男性 無回答","1","1","0","0","0","0","0","1","0","1","0","0"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","女性（計）","313","80","66","68","60","39","96","28","77","137","7","26"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","女性 18～29歳","26","5","5","9","3","4","8","2","3","16","0","0"
