"年度","区分","総数[件]","感染症[件]","結核[件]","精神障害[件]","心身障害[件]","長期療養児[件]","成人[件]","その他の疾患[件]","妊産婦[件]","乳児[件]","幼児[件]","その他[件]"
"2017","保健機関","4630","322","333","1129","119","56","5","32","816","1344","402","72"
"2017","医療機関","2975","243","232","1349","96","49","7","31","433","387","138","10"
"2017","福祉関係","8464","234","234","5481","158","83","54","144","519","703","829","25"
"2017","その他","987","241","109","364","13","7","4","19","50","103","39","38"
"2017","総数","17056","1040","908","8323","386","195","70","226","1818","2537","1408","145"
"2018","保健機関","4309","438","424","775","101","57","16","13","1080","1126","276","3"
"2018","医療機関","2937","380","190","1184","213","65","27","13","351","319","154","41"
"2018","福祉関係","7678","137","31","5022","275","83","107","58","523","543","873","26"
"2018","その他","747","205","196","213","1","3","6","0","12","49","42","20"
"2018","総数","15671","1160","841","7194","590","208","156","84","1966","2037","1345","90"
"2019","保健機関","5915","747","107","993","84","85","29","27","1670","1826","207","140"
"2019","医療機関","4869","1463","416","1371","96","95","20","74","421","476","158","279"
"2019","福祉関係","7869","377","6","5175","91","34","54","90","664","693","582","103"
"2019","その他","948","229","183","361","2","0","18","6","18","38","58","35"
"2019","総数","19601","2816","712","7900","273","214","121","197","2773","3033","1005","557"
"2020","保健機関","14349","10961","70","862","40","30","1","6","934","1297","140","8"
"2020","医療機関","17881","15646","106","1350","42","47","1","6","255","327","100","1"
"2020","福祉関係","12343","4109","23","6115","120","58","10","53","319","638","873","25"
"2020","その他","2907","2550","15","217","37","16","0","5","17","22","20","8"
"2020","総数","47480","33266","214","8544","239","151","12","70","1525","2284","1133","42"
"2021","保健機関","5737","2619","22","803","9","34","9","20","973","1084","128","36"
"2021","医療機関","5773","3573","70","1231","25","53","5","25","307","374","92","18"
"2021","福祉関係","8899","2030","13","4758","48","116","132","46","539","346","834","37"
"2021","その他","1599","1333","37","202","0","0","0","0","17","5","0","5"
"2021","総数","22008","9555","142","6994","82","203","146","91","1836","1809","1054","96"

"令和4年度港区行政資料集　保健師の個別援助活動の状況 関係機関連絡","Ver202203",,,,,,,,,,,,
