"年度","内訳","健診 40歳以上 基本検査受診者[人]","健診 40歳以上 詳細・港区独自検査受診者[人]","健診 40歳以上 所見のある人[人]","区民健診(30健診)30歳以上39歳以下 受診者[人]","区民健診(30健診)30歳以上39歳以下 要指導[人]","区民健診(30健診)30歳以上39歳以下 要医療[人]"
"2013",,"23557","25348","21436","1084","820","136"
"2014",,"23769","25695","21724","1055","853","118"
"2015",,"24053","25916","21954","1014","825","124"
"2016",,"23323","25148","21326","894","738","91"
"2017",,"23009","24749","21043","933","713","104"
"2017","特定健診","13287","13275","11794",,,
"2017","後期高齢者(長寿)医療制度の健診","8686","8684","8308",,,
"2017","基本健診","1036","1035","941",,,
"2017","集合契約","0","1755","0",,,

"平成30年度港区行政資料集　健康診査","Ver201803",,,,,,
