地域,Area,合計(ha),L-1／宅地(ha),L-2／その他(ha),L-2／（屋外利用地）／内数(ha),L-3／公園、運動場等(ha),L-4／未利用地等(ha),L-5／道路等(ha),L-5／（道路）／内数(ha),L-6／農用地(ha),L-7／水面・河川・水路(ha),L-8／森林(ha),L-9／原野(ha)
全域（H24）,All area(2012),33461.4,1242.7,354.9,255.4,213.2,142.7,1036.9,724.6,1806.6,61.4,21954.6,6648.4
全域（H19）,All area(2007),33361.7,1257.5,258,147.9,188.6,110,965.3,700.6,1994.6,49.4,23841.4,4696.9
大島町,Oshima,9077.7,470.9,96.1,96.1,87.7,16.6,292.3,211.7,392,11.1,5814.4,1896.7
利島村,Toshima,403.6,14.6,2.5,2.5,2.9,0.3,17,11.3,9.6,0.1,274.5,81.9
新島村,Niijima,2708.6,121.2,84.6,9.4,27.7,12.6,98.5,61.4,81.1,1.5,1909.7,371.7
神津島村,Kozushima,1830.6,46.6,11.8,5.2,4.4,7,77.6,33.4,189.4,3.8,1006.6,483.3
三宅村,Miyake,5523,152.1,87.3,87.3,3.9,22.4,157.5,115.3,139,25.8,2361.3,2573.8
御蔵島村,Mikurajima,2033.8,9.4,1.4,1.3,3.1,0.2,18.5,14.9,29.4,0.6,1706.4,264.8
八丈町,Hachijo,6913.3,346.5,31.5,30.4,59.9,68.9,306.1,215.8,837.9,9,4953.6,299.8
青ヶ島村,Aogashima,594.6,12.6,6.1,5.2,1,5.5,12.6,10.9,59.1,0.1,338.4,159.2
小笠原村,Ogasawara,4376.3,68.9,33.6,18,22.6,9.1,56.8,49.9,69.1,9.3,3589.7,517.2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
