区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
BP-1／官公庁施設,85.6,9.7,4.1,0.6
BP-2／教育文化施設,85.9,6.9,4.4,2.8
BP-3／厚生医療施設,88.5,6.8,4,0.6
BP-4／供給処理施設,86.6,11.2,2,0.2
BC-1／事務所建築物,77.9,15.6,5.6,0.9
BC-2／専用商業施設,70.4,23.4,5.4,0.8
BC-3／住商併用施設,47.8,13.1,34.9,4.2
BC-4／宿泊・遊興施設,73.6,15.2,8.4,2.7
BC-5／スポーツ・興行施設,78.7,17.1,3.4,0.8
BR-1／独立住宅,1.6,11.8,75.6,11
BR-2／集合住宅,77.3,10.3,11.9,0.5
BI-1／専用工場,51.1,40.7,5.7,2.5
BI-2／住居併用工場,19.4,25,42.7,12.9
BI-3／倉庫運輸関係施設,55.2,34.2,6.9,3.8
BA／農林漁業施設,2.8,26.2,18.5,52.5
