区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
BP-1／官公庁施設,75.9,16.2,6.7,1.1
BP-2／教育文化施設,75.8,10.7,7.5,6
BP-3／厚生医療施設,81.4,10.5,7,1.1
BP-4／供給処理施設,82.1,14.5,3,0.4
BC-1／事務所建築物,64.6,24,9.5,1.9
BC-2／専用商業施設,57.4,33.5,7.8,1.4
BC-3／住商併用施設,32.9,14.5,45.9,6.7
BC-4／宿泊・遊興施設,60.3,20.7,13.5,5.6
BC-5／スポーツ・興行施設,69.1,24.5,5.1,1.3
BR-1／独立住宅,1.4,11,73.9,13.8
BR-2／集合住宅,60.6,17,21.5,1
BI-1／専用工場,38.8,49.8,7.5,3.9
BI-2／住居併用工場,14.7,24.7,43.5,17.2
BI-3／倉庫運輸関係施設,41.1,43.5,9.1,6.4
BA／農林漁業施設,2.6,28,15.6,53.8
