地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
八王子市,Hachioji,17.7,10.7,63.4,7.5,0.7
立川市,Tachikawa,16.4,12.9,61.7,7.3,1.6
武蔵野市,Musashino,16.9,10.6,70.1,32.2,0.3
三鷹市,Mitaka,19.9,7.9,66.8,5.1,0.4
青梅市,Ome,16.7,9.5,61.2,11.7,0.9
府中市,Fuchu,18.1,12.9,57.8,10.7,0.5
昭島市,Akishima,14.1,15.1,55.8,14.7,0.3
調布市,Chofu,16.1,11.6,67.5,4.3,0.5
町田市,Machida,13.3,8.9,73.3,4,0.6
小金井市,Koganei,20.9,6.5,70.8,1.5,0.3
小平市,Kodaira,18.9,8.5,64.7,7.7,0.2
日野市,Hino,13.8,6.8,70.3,8.9,0.3
東村山市,Higashimurayama,17.6,8.7,67.4,5.4,0.8
国分寺市,Kokubunji,15.6,7.4,74.6,1.6,0.8
国立市,Kunitachi,24.6,8.8,62.1,4.3,0.3
福生市,Fussa,12.1,12.7,68.4,6.1,0.7
狛江市,Komae,11.2,6.3,79.1,2.9,0.5
東大和市,Higashiyamato,11.5,12.2,68,6.7,1.5
清瀬市,Kiyose,27.3,6.3,60.5,2.8,3
東久留米市,Higashikurume,13.4,9.4,68.4,5.8,3
武蔵村山市,Musashimurayama,12.7,13,61.5,12.3,0.5
多摩市,Tama,22,11.3,63.7,2.7,3
稲城市,Inagi,16.3,10.5,64.3,7.8,1.1
羽村市,Hamura,10.1,10.4,50.1,28.1,1.3
あきる野市,Akiruno,12.7,10.9,67.1,7.2,2
西東京市,Nishitokyo,13.2,8.9,74.3,3.3,0.4
瑞穂町,Mizuho,8.3,13.2,43.3,29.7,5.5
日の出町,Hinode,22.7,9.1,47.2,15.5,5.5
