一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
23,中央区月島4-1,35.662067,139.782181,JGD2011,都道上野月島線(清澄通り),c,2009-06-02,2009-06-05,4,7,6.0 ,1.2,66,64
24,中央区日本橋小伝馬町20-3,35.692356,139.780548,JGD2011,国道6号(江戸通り),c,2009-06-09,2009-06-12,3,6,4.0 ,1.2,67,65
25,中央区日本橋本町2-2,35.687996,139.775497,JGD2011,都道日本橋芝浦大森線(昭和通り),c,2009-06-09,2009-06-12,4,7,5.0 ,1.2,72,70
26,中央区築地6-1,35.665749,139.772690,JGD2011,都道日比谷豊洲埠頭東雲町線(晴海通り),c,2009-07-07,2009-07-10,4,6,5.0 ,1.2,71,70
27,中央区京橋3-11,35.674385,139.771667,JGD2011,都道日本橋芝浦大森線(昭和通り),c,2009-10-06,2009-10-09,4,10,5.0 ,1.2,71,70
28,中央区日本橋人形町2-36,35.685848,139.786469,JGD2011,都道東京市川線(新大橋通り),c,2009-10-13,2009-10-16,4,6,5.0 ,1.2,70,68
29,中央区京橋2-3,35.676660,139.771215,JGD2011,国道15号(中央通り),c,2009-10-06,2009-10-09,3,5,5.0 ,1.2,69,68
30,中央区新富2-15,35.671257,139.775208,JGD2011,都道東京市川線(新大橋通り),c,2009-11-10,2009-11-13,4,6,5.0 ,1.2,70,67
31,中央区晴海3-1,35.656456,139.779572,JGD2011,都道日比谷豊洲埠頭東雲町線(晴海通り),c,2009-12-08,2009-12-11,4,9,8.0 ,1.2,65,63
32,中央区日本橋茅場町1-14,35.680141,139.781479,JGD2011,都道東京市川線(新大橋通り),c,2010-01-19,2010-01-22,4,6,5.0 ,1.2,69,68
33,中央区日本橋室町1-5,35.685963,139.774460,JGD2011,一般国道4号,C,2009-09-16,2009-09-17,3,4,6.4 ,1.2,69,66
34,中央区日本橋室町4-6,35.689713,139.772888,JGD2011,一般国道17号,C,2009-09-16,2009-09-17,3,6,4.8 ,1.2,69,68
35,中央区晴海1-8,35.655556,139.781830,JGD2011,日比谷豊洲埠頭東雲町線,C,2009-11-10,2009-11-11,4,10,5.4 ,1.2,62,56
36,中央区日本橋本石町3-3,35.687733,139.771362,JGD2011,一般都道407号,C,2009-09-16,2009-09-17,4,4,4.9 ,1.2,65,61
37,中央区日本橋3-5,35.679211,139.772476,JGD2011,主要都道408号,C,2009-09-16,2009-09-17,4,8,6.5 ,1.2,65,61
38,中央区八丁堀1-9,35.677292,139.777100,JGD2011,特別区道中京第401号線,C,2009-09-16,2009-09-17,5,6,5.9 ,1.2,64,60
39,中央区新川2-4,35.676250,139.780197,JGD2011,特別区道中京第401号線,C,2009-09-16,2009-09-17,5,4,3.9 ,1.2,67,59
40,中央区明石町5-12,35.668297,139.778229,JGD2011,特別区道中京第412号線,B,2009-09-16,2009-09-17,5,4,13.8 ,1.2,59,56
