一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
487,町田市鶴間1-21,35.513294,139.466385,JGD2011,一般国道16号,B,2009-11-24,2009-11-25,3,4,5.3 ,1.2 ,76,75
492,町田市相原町343,35.609680,139.343918,JGD2011,一般国道16号,B,2009-11-19,2009-11-20,3,2,2.5 ,1.2 ,75,73
505,日野市多摩平4-3,35.666470,139.378754,JGD2011,国道20号（日野バイパス）,a,2010-01-07,2010-01-14,3,4,3.0 ,1.3 ,70,66
506,日野市多摩平7-23,35.669273,139.389725,JGD2011,国道20号（日野バイパス）,a,2010-01-15,2010-01-21,3,4,2.0 ,1.3 ,70,67
507,日野市万願寺6-35,35.669601,139.410080,JGD2011,国道20号（日野バイパス）,b,2010-01-22,2010-01-28,3,4,3.0 ,1.3 ,66,62
514,日野市日野本町7-5,35.679592,139.399765,JGD2011,一般国道20号,C,2009-11-24,2009-11-25,3,2,4.5 ,1.2 ,67,64
532,国立市谷保5128,35.679001,139.445923,JGD2011,一般国道20号,B,2009-11-24,2009-11-25,3,4,2.0 ,1.2 ,72,70
535,福生市福生2300-4,35.740550,139.337811,JGD2011,国道16号,c,2010-02-15,2010-02-16,3,4,3.0 ,1.5 ,80,81
538,福生市熊川1123,35.731098,139.341370,JGD2011,一般国道16号,C,2009-11-19,2009-11-20,3,4,3.7 ,1.2 ,73,72
588,あきる野市菅生725,35.747017,139.289734,JGD2011,国道411号（滝山街道）,b,2009-10-15,2009-10-16,3,2,2.0 ,1.2 ,71,68
591,あきる野市下代継148,35.730961,139.283386,JGD2011,一般国道468号,B,2009-11-16,2009-11-17,3,4,0.0 ,1.2 ,59,54
604,西多摩郡瑞穂町箱根ヶ崎西松原50,35.773102,139.335999,JGD2011,一般国道16号,C,2009-11-16,2009-11-17,3,4,4.1 ,1.2 ,59,58
605,西多摩郡瑞穂町二本木907,35.789516,139.360397,JGD2011,一般国道16号,B,2009-11-16,2009-11-17,3,4,5.6 ,1.2 ,70,70
607,西多摩郡奥多摩町原71,35.786855,139.042450,JGD2011,一般国道411号,B,2009-11-16,2009-11-17,3,2,1.5 ,1.2 ,63,54
608,西多摩郡奥多摩町川野716,35.774104,138.998096,JGD2011,一般国道139号,B,2009-11-16,2009-11-17,3,2,1.4 ,1.2 ,62,49
