一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
203,中野区大和町1-12,35.712528,139.653717,JGD2011,都道環状７号線(環七通り),c,2009-12-15,2009-12-16,4,4,4.5 ,1.2,78,77
204,中野区江原町3-5,35.730846,139.675552,JGD2011,都道千代田練馬田無線(目白通り),c,2009-12-15,2009-12-16,4,4,4.1 ,1.2,70,70
205,中野区本町4-18,35.696976,139.672409,JGD2011,都道東京所沢線(青梅街道),c,2009-12-15,2009-12-16,4,4,4.2 ,1.2,68,68
206,中野区中野2-17,35.702869,139.669495,JGD2011,都道神楽坂高円寺線(大久保通り),c,2009-12-15,2009-12-16,4,2,1.9 ,1.2,67,65
207,中野区中野5-68,35.709263,139.665207,JGD2011,都道鮫洲大山線(中野通り),c,2009-12-15,2009-12-16,4,3,3.5 ,1.2,68,68
208,中野区弥生町4-20,35.686672,139.671631,JGD2011,都道新宿国立線(方南通り),c,2009-12-15,2009-12-16,4,2,4.5 ,1.2,64,62
209,中野区江古田4-3,35.724350,139.665359,JGD2011,都道落合井草線(新青梅街道),c,2009-12-15,2009-12-16,4,2,3.1 ,1.2,70,69
210,中野区上鷺宮3-17,35.735073,139.631134,JGD2011,都道椎名町上石神井線(千川通り),c,2009-12-15,2009-12-16,4,2,2.8 ,1.2,70,67
211,中野区白鷺2-35,35.719379,139.636078,JGD2011,都道瀬田貫井線(中杉通り),c,2010-01-13,2010-01-14,4,2,1.1 ,1.2,68,66
212,中野区中野5-4,35.709061,139.672165,JGD2011,都道飯田橋石神井新座線(早稲田通り),c,2009-12-15,2009-12-16,4,2,3.0 ,1.2,70,67
213,中野区中央2-18,35.700245,139.682617,JGD2011,都道環状６号線(山手通り),c,2009-12-15,2009-12-16,4,4,6.0 ,1.2,65,62
214,中野区弥生町2-41,35.691360,139.671951,JGD2011,区道補助63号(本郷通り),c,2009-12-15,2009-12-16,6,2,2.1 ,1.2,66,62
215,中野区上鷺宮3-17-4,35.734886,139.631210,JGD2011,椎名町上石神井線,C,2010-01-13,2010-01-14,4,2,2.8 ,1.2,70,68
216,中野区白鷺2-35-12,35.719250,139.636246,JGD2011,瀬田貫井線,C,2009-12-15,2009-12-16,4,2,1.1 ,1.2,68,66
217,中野区上鷺宮1-7-35,35.727757,139.639069,JGD2011,瀬田貫井線,C,2009-12-15,2009-12-16,4,2,2.5 ,1.2,65,63
