一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
13,千代田区和泉橋出張所4階,35.697286,139.775007,JGD2011,高速１号（上野線）,c,2009-11-18,2009-11-25,2,4,18.2 ,13.6 ,71,69
49,港区海岸3丁目21,35.639450,139.757339,JGD2011,高速11号台場線,C,2009-11-26,2009-11-27,2,4,9.5 ,1.2 ,67,64
127,江東区大島7-30 (10F),35.693832,139.841415,JGD2011,高速7号小松川線,c,2009-05-14,2009-05-15,2,4,23.0 ,25.8 ,68,68
128,江東区枝川2-1 (10F),35.659821,139.805649,JGD2011,高速9号深川線,c,2009-06-03,2009-06-04,2,4,28.0 ,27.0 ,71,68
131,江東区枝川3丁目3,35.658913,139.808472,JGD2011,高速9号深川線／都道環状3号線,C,2009-11-09,2009-11-10,2,10,6.0 ,1.2 ,74,71
133,江東区福住2丁目3,35.677292,139.794083,JGD2011,高速9号深川線／区道永代葛西橋線,C,2009-11-09,2009-11-10,2,10,4.5 ,1.2 ,67,63
140,品川区上大崎3-14,35.632114,139.720078,JGD2011,首都高速２号目黒線,b,2009-11-26,2009-12-02,2,4,15.0 ,8.0 ,70,66
241,杉並区上高井戸3丁目6,35.675556,139.617264,JGD2011,高速4号新宿線／都道新宿国立線,B,2009-11-04,2009-11-05,2,8,10.5 ,1.2 ,70,68
242,杉並区高井戸東2丁目1,35.676998,139.617569,JGD2011,高速4号新宿線／都道新宿国立線,B,2009-11-04,2009-11-05,2,8,9.8 ,1.2 ,73,71
253,豊島区池袋1-13,35.737099,139.713638,JGD2011,首都高速5号線,c,2009-10-27,2009-10-30,2,4,8.3 ,22.2 ,77,75
301,板橋区高島平6-1,35.791908,139.645660,JGD2011,首都高速5号池袋線,c,2009-09-17,2009-09-18,2,4,4.0 ,1.0 ,72,69
321,足立区足立2丁目2,35.760349,139.808762,JGD2011,首都高速環状線／都道千住小松川葛西沖線,C,2009-12-14,2009-12-15,2,7,10.6 ,1.2 ,69,66
322,足立区入谷4丁目17,35.807903,139.759354,JGD2011,首都高速川口線／区道足立川口線,C,2009-12-08,2009-12-09,2,8,6.2 ,1.2 ,73,70
344,葛飾区小菅1-2,35.752621,139.818939,JGD2011,首都高速道路中央環状線,c,2009-09-03,2009-09-10,2,4,98.0 ,13.6 ,61,59
345,葛飾区小菅1-35,35.756767,139.818176,JGD2011,首都高速道路三郷線,b,2009-07-09,2009-07-16,2,4,51.0 ,1.2 ,59,57
