一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
158,目黒区目黒本町3丁目20,35.624226,139.697281,JGD2011,鮫洲大山線,B,2009-12-08,2009-12-09,4,2,3.5 ,1.2 ,67,66
159,大田区南蒲田3-2,35.554874,139.727783,JGD2011,主要地方道環状８号線（環八通り）,c,2010-02-03,2010-02-05,4,4,5.5 ,2.3 ,67,65
160,大田区西嶺町13,35.581436,139.681732,JGD2011,主要地方道環状８号線（環八通り）,b,2010-02-03,2010-02-05,4,6,3.3 ,2.3 ,71,68
161,大田区南千束1-33,35.601444,139.693100,JGD2011,主要地方道東京丸子横浜線（中原街道）,b,2010-02-03,2010-02-05,4,6,4.7 ,2.5 ,70,69
162,大田区田園調布1-10,35.586781,139.671829,JGD2011,主要地方道東京丸子横浜線（中原街道）,b,2010-02-03,2010-02-05,4,4,4.7 ,2.8 ,73,71
166,大田区山王4丁目13,35.588856,139.719299,JGD2011,環状7号線,B,2010-01-26,2010-01-27,4,4,4.7 ,2.1 ,72,71
167,大田区新蒲田1丁目14,35.559662,139.709015,JGD2011,環状8号線,C,2010-01-19,2010-01-20,4,4,6.4 ,2.5 ,67,64
168,大田区南千束3丁目32,35.599949,139.687881,JGD2011,東京丸子横浜線,B,2010-01-26,2010-01-27,4,4,4.7 ,2.5 ,69,68
171,大田区南蒲田3丁目2,35.554874,139.727783,JGD2011,環状8号線,C,2010-02-04,2010-02-05,4,4,5.5 ,2.3 ,67,65
172,大田区西嶺町13,35.581436,139.681732,JGD2011,環状8号線,B,2010-02-04,2010-02-05,4,6,3.3 ,2.3 ,71,68
173,世田谷区羽根木1-6,35.664577,139.660339,JGD2011,都道環状七号線（環七通り）,c,2009-05-12,2009-05-22,4,5,4.7 ,1.2 ,68,68
176,世田谷区野毛1-25,35.605839,139.641632,JGD2011,都道環状八号線（環八通り）,b,2009-09-08,2009-09-18,4,6,2.7 ,1.2 ,73,71
177,世田谷区八幡山2-10,35.660618,139.615280,JGD2011,都道環状八号線（環八通り）,b,2009-10-06,2009-10-16,4,6,4.3 ,1.2 ,67,66
179,世田谷区等々力4-19,35.610359,139.652618,JGD2011,都道白金台町等々力線（目黒通り）,b,2009-04-14,2009-04-24,4,4,8.8 ,1.8 ,70,67
180,世田谷区世田谷1-11,35.641205,139.653061,JGD2011,都道世田谷町田線（世田谷通り）,c,2009-06-09,2009-06-19,4,2,3.5 ,1.2 ,70,68
181,世田谷区上北沢2-1,35.669216,139.617523,JGD2011,都道調布経堂停車場線（赤堤通り）,a,2009-06-23,2009-07-03,4,2,1.7 ,1.2 ,66,61
182,世田谷区大原1-16,35.668655,139.664810,JGD2011,都道赤坂杉並線（井の頭通り）,a,2009-07-07,2009-07-17,4,2,10.9 ,1.2 ,64,63
183,世田谷区野沢3-4,35.629002,139.674240,JGD2011,都道環状七号線（環七通り）,b,2009-12-08,2009-12-09,4,6,2.7 ,1.2 ,74,72
186,世田谷区砧公園7,35.632093,139.624210,JGD2011,都道環状八号線（環八通り）,b,2009-12-15,2009-12-16,4,6,4.6 ,1.2 ,70,69
188,世田谷区野毛3-20,35.604420,139.637070,JGD2011,都道大田調布線（多摩堤通り）,a,2009-12-17,2009-12-18,4,2,0.8 ,1.2 ,69,65
190,世田谷区成城3-18,35.633675,139.598297,JGD2011,都道世田谷町田線（世田谷通り）,b,2009-12-15,2009-12-16,4,2,2.5 ,1.2 ,70,69
195,世田谷区玉川田園調布2丁目6,35.600880,139.665237,JGD2011,環状8号線,B,2009-10-28,2009-10-29,4,6,2.5 ,1.2 ,73,71
196,世田谷区下馬5丁目34,35.637367,139.683090,JGD2011,鮫洲大山線,A,2009-10-28,2009-10-29,4,2,3.8 ,1.2 ,63,62
197,世田谷区給田4丁目22,35.670319,139.589752,JGD2011,世田谷三鷹線,A,2009-10-28,2009-10-29,4,2,1.5 ,1.2 ,73,73
198,渋谷区本町3丁目8,35.688694,139.683105,JGD2011,環状6号線,C,2009-12-08,2009-12-09,4,4,13.0 ,1.2 ,66,64
199,渋谷区代々木5丁目12,35.672737,139.688217,JGD2011,環状6号線,B,2009-12-08,2009-12-09,4,4,11.9 ,1.2 ,65,62
200,渋谷区千駄ヶ谷4丁目8,35.679340,139.705566,JGD2011,芝新宿王子線,C,2009-12-08,2009-12-09,4,4,4.2 ,1.2 ,67,65
201,渋谷区東3丁目14,35.651119,139.709732,JGD2011,芝新宿王子線,C,2009-12-08,2009-12-09,4,4,5.9 ,1.2 ,66,62
