名称,所在地,緯度,経度,電話
栄町敬老館,練馬区栄町40-7,35.73945985,139.6713626,03-3994-3286
南田中敬老館,練馬区南田中5-15-25,35.73777979,139.6115077,03-3995-5538
三原台敬老館,練馬区三原台2-11-29,35.75732146,139.6063413,03-3924-8834
石神井敬老館,練馬区石神井町7-28-21,35.74479231,139.5981384,03-3996-2900
石神井台敬老館,練馬区石神井台2-18-13,35.73542776,139.5896466,03-3995-8270
東大泉敬老館,練馬区東大泉7-20-1,35.74232052,139.5770505,03-3921-9129
西大泉敬老館,練馬区西大泉3-21-16,35.75940197,139.5788663,03-3924-9545
大泉北敬老館,練馬区大泉学園町4-21-1,35.7654762,139.5883679,03-3925-7105
高野台敬老館,練馬区高野台2-25-1,35.74784643,139.620932,03-3996-5135
上石神井敬老館,練馬区上石神井1-6-16,35.72523455,139.5923404,03-3928-8623
