区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,741,-,-,103,-,110,-,105,-,109,-,106,-,102,-,106,-
0,0,世帯人員,2.98,-,-,2.73,-,2.7,-,2.81,-,2.99,-,3.18,-,3.26,-,3.2,-
0,0,有業人員,1.29,-,-,1.18,-,1.12,-,1.17,-,1.22,-,1.43,-,1.52,-,1.4,-
0,0,世帯主平均年齢,59.2,-,-,61.3,-,62.6,-,59.9,-,59,-,58.9,-,55.8,-,56.7,-
0,0,消費支出,348650,100,5.5,123746,100,192867,100,238709,100,290003,100,346677,100,456665,100,787628,100
1,0,商品,190545,54.7,0.2,93187,75.3,126091,65.4,148965,62.4,179196,61.8,201521,58.1,240192,52.6,343137,43.6
1,1,耐久財,12841,3.7,-43.5,851,0.7,3600,1.9,4793,2,6068,2.1,8321,2.4,14833,3.2,51045,6.5
1,2,半耐久財,33778,9.7,6.9,8183,6.6,12035,6.2,20613,8.6,23767,8.2,36131,10.4,48535,10.6,86742,11
1,3,非耐久財,143926,41.3,6,84154,68,110456,57.3,123559,51.8,149361,51.5,157068,45.3,176823,38.7,205350,26.1
1,0,サービス,158105,45.3,12.6,30559,24.7,66776,34.6,89744,37.6,110807,38.2,145157,41.9,216473,47.4,444491,56.4
2,0,食料,113249,32.5,5.8,61829,50,79742,41.3,89671,37.6,115049,39.7,120466,34.7,144813,31.7,180474,22.9
2,3,非耐久財,91742,26.3,7,55797,45.1,70033,36.3,77880,32.6,97037,33.5,100904,29.1,110784,24.3,129327,16.4
2,4,サービス,21507,6.2,1.2,6032,4.9,9708,5,11791,4.9,18012,6.2,19561,5.6,34029,7.5,51147,6.5
2,0,住居,35476,10.2,10.9,4577,3.7,16102,8.3,21970,9.2,22411,7.7,26902,7.8,26756,5.9,128608,16.3
2,1,耐久財,1651,0.5,-53,-,-,-,-,60,0,173,0.1,882,0.3,2360,0.5,8028,1
2,2,半耐久財,250,0.1,7.8,37,0,109,0.1,145,0.1,365,0.1,412,0.1,281,0.1,399,0.1
2,4,サービス,33575,9.6,18.9,4540,3.7,15994,8.3,21764,9.1,21873,7.5,25608,7.4,24116,5.3,120181,15.3
2,0,光熱・水道（非耐久財）,25095,7.2,7.6,17613,14.2,21830,11.3,24683,10.3,26869,9.3,28902,8.3,27442,6,28271,3.6
2,0,家具・家事用品,14862,4.3,14.1,4892,4,6878,3.6,10271,4.3,11333,3.9,12276,3.5,17567,3.8,40573,5.2
2,1,耐久財,5384,1.5,8.4,542,0.4,1969,1,3464,1.5,3345,1.2,3122,0.9,6327,1.4,18787,2.4
2,2,半耐久財,4751,1.4,13.5,1957,1.6,2317,1.2,3364,1.4,3797,1.3,5089,1.5,5864,1.3,10816,1.4
2,3,非耐久財,3213,0.9,8.5,1702,1.4,2070,1.1,3212,1.3,3107,1.1,3234,0.9,3898,0.9,5248,0.7
2,4,サービス,1514,0.4,64.9,692,0.6,522,0.3,232,0.1,1084,0.4,831,0.2,1478,0.3,5721,0.7
2,0,被服及び履物,17652,5.1,1.9,4275,3.5,5743,3,12170,5.1,13424,4.6,18642,5.4,24715,5.4,44375,5.6
2,2,半耐久財,16731,4.8,4.4,4001,3.2,5166,2.7,11667,4.9,12576,4.3,17661,5.1,23394,5.1,42445,5.4
2,4,サービス,921,0.3,-29.1,274,0.2,576,0.3,502,0.2,848,0.3,982,0.3,1321,0.3,1929,0.2
2,0,保健医療,16834,4.8,6.7,4471,3.6,9415,4.9,12648,5.3,15126,5.2,17685,5.1,26683,5.8,31668,4
2,1,耐久財,1050,0.3,-28.9,1,0,399,0.2,213,0.1,862,0.3,1390,0.4,929,0.2,3528,0.4
2,2,半耐久財,538,0.2,25.4,194,0.2,144,0.1,110,0,130,0,1232,0.4,275,0.1,1673,0.2
2,3,非耐久財,5886,1.7,2.2,2252,1.8,3898,2,5199,2.2,5699,2,5462,1.6,7803,1.7,10837,1.4
2,4,サービス,9359,2.7,15.5,2024,1.6,4973,2.6,7126,3,8435,2.9,9601,2.8,17676,3.9,15630,2
2,0,交通・通信,36701,10.5,-7.1,8385,6.8,17655,9.2,21867,9.2,30156,10.4,39283,11.3,54915,12,84194,10.7
2,1,耐久財,1925,0.6,-74,-,-,87,0,-,-,602,0.2,712,0.2,1240,0.3,10745,1.4
2,2,半耐久財,2089,0.6,40.9,367,0.3,625,0.3,303,0.1,501,0.2,1565,0.5,3338,0.7,7872,1
2,3,非耐久財,2523,0.7,-7.4,768,0.6,1560,0.8,1226,0.5,3001,1,2958,0.9,4002,0.9,4126,0.5
2,4,サービス,30164,8.7,8.2,7249,5.9,15382,8,20338,8.5,26052,9,34049,9.8,46336,10.1,61452,7.8
2,0,教育,11347,3.3,-9.3,537,0.4,1810,0.9,4367,1.8,5042,1.7,7884,2.3,17651,3.9,41873,5.3
