年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成20年平均,2008,,23.3,27.1,25.3,23.2,23,22,22.4,22.2
nen,平成21年平均,2009,,23.2,26.5,26.6,23.9,23.7,22.1,22,20.9
nen,平成22年平均,2010,,22.2,26.4,23.5,22.1,23.8,21.3,20.8,19.9
nen,平成23年平均,2011,,23.6,25.7,27.4,24.7,23.4,23.3,22.3,21.2
nen,平成24年平均,2012,,23,26.5,25.8,24,23.2,23.4,20.7,20.8
nen,平成25年平均,2013,,22.9,25.9,25.1,24.5,23.7,22.9,20.9,20.3
nen,平成26年（速報）,2014,,23.7,26.5,24.9,25.3,24.4,22.8,22.5,22
tuki,平成25年12月,2013,12,25.1,24.9,27,26.6,24.5,26.6,23.5,24.2
tuki,平成26年1月,2014,1,22.8,24.9,22.7,27,21.9,22.7,23,20.1
tuki,平成26年2月,2014,2,23.9,29,26.1,24.3,26.9,22.4,24,19.4
tuki,平成26年3月,2014,3,21,24.1,25,24.1,20.5,20.7,17.7,19.7
tuki,平成26年4月,2014,4,21,22.3,22.2,21.2,24.2,22,17,20.5
tuki,平成26年5月,2014,5,23.9,27.7,26.7,22.4,27.7,25.5,20.9,20.8
tuki,平成26年6月,2014,6,24.6,23,25.9,27.5,25.6,25.6,22.5,23.7
tuki,平成26年7月,2014,7,23.6,27.4,30.3,26.6,20.6,18.1,23.1,23.9
tuki,平成26年8月,2014,8,26.1,30.6,27.9,25,25,24.1,28.1,24.6
tuki,平成26年9月,2014,9,22,33,17.1,25.4,22.7,19.3,24.2,20.1
tuki,平成26年10月,2014,10,24.9,25,27.2,26.5,27.1,26.5,22.6,22.4
tuki,平成26年11月,2014,11,26.4,28.8,29.3,26.4,26.2,27.2,24.3,25
tuki,平成26年12月,2014,12,25.3,26.1,25.9,27.4,28.1,24.7,23,24
,,,,,,,,,,,
東京都生計分析調査　平成26年12月,,,,,,,,,,,
主要指標５　―勤労者世帯，勤め先収入７分位階層別―,,,,,,,,,,,
エンゲル係数〔＝（食料費÷消費支出）×１００〕,,,,,,,,,,,
